epoch,env_mod_attack_head_loss,env_mod_attack_head_mae,env_mod_decay_head_loss,env_mod_decay_head_mae,env_mod_release_head_loss,env_mod_release_head_mae,env_mod_sustain_head_loss,env_mod_sustain_head_mae,loss,val_env_mod_attack_head_loss,val_env_mod_attack_head_mae,val_env_mod_decay_head_loss,val_env_mod_decay_head_mae,val_env_mod_release_head_loss,val_env_mod_release_head_mae,val_env_mod_sustain_head_loss,val_env_mod_sustain_head_mae,val_loss,learning_rate
0,0.4489414095878601,0.8243052363395691,0.4543025493621826,0.8349260091781616,0.46680429577827454,0.8474888205528259,0.4620994031429291,0.8409358263015747,1.4195079803466797,0.263915479183197,0.604320764541626,0.30650755763053894,0.650269627571106,0.2449186146259308,0.5751178860664368,0.19073015451431274,0.48819348216056824,0.7857844829559326,0.00019999999494757503
1,0.28571051359176636,0.6277766227722168,0.3179986774921417,0.6728952527046204,0.2808988094329834,0.6242560744285583,0.23006761074066162,0.539543092250824,0.8687333464622498,0.1961325854063034,0.518439531326294,0.21557681262493134,0.5195307731628418,0.23967856168746948,0.5656387209892273,0.16081978380680084,0.43076756596565247,0.6336840987205505,0.00019999999494757503
2,0.24181115627288818,0.5746800303459167,0.24871188402175903,0.5799943804740906,0.24923297762870789,0.5847251415252686,0.18720300495624542,0.4769352078437805,0.7228469252586365,0.20820188522338867,0.5352634787559509,0.19834937155246735,0.4966054856777191,0.2190532386302948,0.5401126742362976,0.14481221139431,0.422481507062912,0.6018521785736084,0.00019999999494757503
3,0.21896027028560638,0.5477667450904846,0.22104987502098083,0.5429990291595459,0.2237977683544159,0.5475445985794067,0.16781331598758698,0.44928380846977234,0.6485157012939453,0.1527925580739975,0.45442715287208557,0.17173397541046143,0.4695006012916565,0.1860925853252411,0.49269697070121765,0.1539251208305359,0.4144630432128906,0.5162428617477417,0.00019999999494757503
4,0.19688019156455994,0.5185899138450623,0.20586729049682617,0.5207149982452393,0.20249859988689423,0.5159028768539429,0.1545383483171463,0.43290236592292786,0.5923735499382019,0.15093927085399628,0.4534858465194702,0.15959124267101288,0.4488755762577057,0.15050260722637177,0.4306933581829071,0.13600021600723267,0.40873780846595764,0.4640267789363861,0.00019999999494757503
5,0.1774708479642868,0.48994484543800354,0.18508408963680267,0.49004989862442017,0.1709521859884262,0.46660977602005005,0.145364448428154,0.4175703227519989,0.5285610556602478,0.14684784412384033,0.4457304775714874,0.1479443609714508,0.4348286986351013,0.13897204399108887,0.4209294319152832,0.11685740202665329,0.3747251331806183,0.42881155014038086,0.00019999999494757503
6,0.16254985332489014,0.46940797567367554,0.17702247202396393,0.47649386525154114,0.150987908244133,0.4359450936317444,0.13082897663116455,0.39411023259162903,0.48402848839759827,0.1610965132713318,0.46849900484085083,0.13542112708091736,0.40541279315948486,0.12641768157482147,0.3970907926559448,0.11012935638427734,0.3625781834125519,0.41543886065483093,0.00019999999494757503
7,0.16116243600845337,0.4724404215812683,0.1598196029663086,0.4534648060798645,0.1410979926586151,0.4176470935344696,0.12474405020475388,0.38632023334503174,0.45698481798171997,0.13811984658241272,0.43448078632354736,0.12441155314445496,0.3832545578479767,0.11070293933153152,0.36096981167793274,0.10835863649845123,0.35870641469955444,0.37443846464157104,0.00019999999494757503
8,0.15369977056980133,0.45825856924057007,0.1523515284061432,0.4414759576320648,0.1264122873544693,0.3951084613800049,0.122855044901371,0.383065789937973,0.4319693148136139,0.14519090950489044,0.4411943256855011,0.12949806451797485,0.38973480463027954,0.10260695219039917,0.33484914898872375,0.10746666043996811,0.358384907245636,0.3770633339881897,0.00019999999494757503
9,0.15183410048484802,0.45518389344215393,0.14115697145462036,0.41652417182922363,0.11572816967964172,0.37708932161331177,0.11565326899290085,0.37317174673080444,0.4079330265522003,0.13032463192939758,0.42126232385635376,0.12081985920667648,0.3771621286869049,0.09924302995204926,0.34724661707878113,0.09300625324249268,0.334187388420105,0.3454144299030304,0.00019999999494757503
