epoch,env_mod_attack_head_loss,env_mod_attack_head_mae,env_mod_decay_head_loss,env_mod_decay_head_mae,env_mod_release_head_loss,env_mod_release_head_mae,env_mod_sustain_head_loss,env_mod_sustain_head_mae,loss,val_env_mod_attack_head_loss,val_env_mod_attack_head_mae,val_env_mod_decay_head_loss,val_env_mod_decay_head_mae,val_env_mod_release_head_loss,val_env_mod_release_head_mae,val_env_mod_sustain_head_loss,val_env_mod_sustain_head_mae,val_loss,learning_rate
10,0.14937107264995575,0.4465026557445526,0.13609445095062256,0.4107891917228699,0.10495557636022568,0.35791075229644775,0.11685243993997574,0.37641024589538574,0.39413368701934814,0.13586123287677765,0.42973238229751587,0.10899906605482101,0.3588320016860962,0.092779740691185,0.3300849497318268,0.09911806136369705,0.3471844792366028,0.33949464559555054,0.00019999999494757503
11,0.1502114236354828,0.45308664441108704,0.12483705580234528,0.3901852071285248,0.10107877850532532,0.3485797047615051,0.10457722097635269,0.35483235120773315,0.37410613894462585,0.1323760449886322,0.42086198925971985,0.10313968360424042,0.3454134464263916,0.09102164208889008,0.32336780428886414,0.09226800501346588,0.3368665277957916,0.32581743597984314,0.00019999999494757503
12,0.14547304809093475,0.44721707701683044,0.12078331410884857,0.3877555727958679,0.0999617874622345,0.3485908806324005,0.10229027271270752,0.3484494090080261,0.3645775616168976,0.12815935909748077,0.4142933785915375,0.11057641357183456,0.3567202687263489,0.08790607005357742,0.3166891932487488,0.09389939904212952,0.33800768852233887,0.32704320549964905,0.00019999999494757503
13,0.1422930359840393,0.4401426315307617,0.11522072553634644,0.3764616549015045,0.093287892639637,0.33607789874076843,0.10436540096998215,0.35224273800849915,0.3536970317363739,0.13432258367538452,0.4317224323749542,0.10004040598869324,0.3370214104652405,0.07547290623188019,0.2855266034603119,0.09309624880552292,0.3323501646518707,0.31303611397743225,0.00019999999494757503
14,0.14417040348052979,0.44228437542915344,0.115077443420887,0.37077003717422485,0.08525729179382324,0.3205283284187317,0.09747110307216644,0.34052854776382446,0.34383389353752136,0.1205725446343422,0.4045336842536926,0.09801993519067764,0.3318991959095001,0.0717063620686531,0.27959761023521423,0.09688112139701843,0.33803650736808777,0.3000558912754059,0.00019999999494757503
15,0.13371512293815613,0.427256315946579,0.10657071322202682,0.3579835891723633,0.08360644429922104,0.3154982626438141,0.09972251951694489,0.3457605540752411,0.3289196491241455,0.12099646031856537,0.4065597653388977,0.08778800815343857,0.3113057315349579,0.06969179958105087,0.2725907564163208,0.08575647324323654,0.3124088644981384,0.28281062841415405,0.00019999999494757503
16,0.13697071373462677,0.43042829632759094,0.10106344521045685,0.3448476791381836,0.07921526581048965,0.3031841218471527,0.09533672034740448,0.3365415930747986,0.32053545117378235,0.13943390548229218,0.4302099943161011,0.0963975116610527,0.32318946719169617,0.0627802237868309,0.262027382850647,0.08904175460338593,0.3211258351802826,0.30121859908103943,0.00019999999494757503
17,0.13350743055343628,0.424108624458313,0.10068556666374207,0.3469354808330536,0.07833438366651535,0.30266740918159485,0.09487970918416977,0.3334299623966217,0.31643763184547424,0.13349391520023346,0.4188731908798218,0.10479165613651276,0.34223681688308716,0.0641428530216217,0.25874972343444824,0.09472566843032837,0.3403356373310089,0.30825069546699524,0.00019999999494757503
18,0.1289902627468109,0.41669541597366333,0.08854078501462936,0.32379093766212463,0.0681101456284523,0.2819901406764984,0.08561979234218597,0.3187248706817627,0.2884468734264374,0.12180231511592865,0.40477126836776733,0.08337033540010452,0.3021950423717499,0.06615642458200455,0.2726803123950958,0.08446303009986877,0.31467902660369873,0.27618736028671265,9.999999747378752e-05
19,0.12298872321844101,0.4124372601509094,0.08699914813041687,0.3207409977912903,0.06446637958288193,0.27520307898521423,0.08311135321855545,0.31472426652908325,0.27774152159690857,0.12015745043754578,0.4021274149417877,0.0832853689789772,0.30746009945869446,0.05563861504197121,0.23797635734081268,0.08216498047113419,0.307565838098526,0.26478058099746704,9.999999747378752e-05
