file_name,pitch,pitch_hz,fft_distance,stft_distance,log_mel_spectrogram_distance_raw,log_mel_spectrogram_distance_normalized,log_mel_num_elements
bass_electronic_018-022-100.wav,22,29.13523509488062,24447.212890625,5343.3388671875,194.0892791748047,0.012034305504390172,16128
bass_electronic_018-023-025.wav,23,30.86770632850775,24482.041015625,5347.02099609375,197.44822692871094,0.012242573594290113,16128
bass_electronic_018-023-075.wav,23,30.86770632850775,24933.263671875,4681.8994140625,134.93589782714844,0.008366561125195215,16128
bass_electronic_018-023-127.wav,23,30.86770632850775,24941.27734375,4713.142578125,137.75015258789062,0.008541056088038854,16128
bass_electronic_018-024-025.wav,24,32.70319566257483,25085.814453125,4598.5283203125,134.19586181640625,0.008320675955878364,16128
bass_electronic_018-024-100.wav,24,32.70319566257483,25194.3984375,4736.73486328125,140.82504272460938,0.008731711478460403,16128
bass_electronic_018-026-025.wav,26,36.70809598967594,24723.4609375,4567.9658203125,140.65350341796875,0.00872107536073715,16128
bass_electronic_018-026-075.wav,26,36.70809598967594,25641.416015625,4646.75732421875,145.1016845703125,0.008996880243694971,16128
bass_electronic_018-026-127.wav,26,36.70809598967594,25523.3359375,4689.453125,145.03831481933594,0.008992951067667159,16128
bass_electronic_018-027-075.wav,27,38.890872965260115,25273.482421875,4753.6357421875,156.89991760253906,0.009728417510078066,16128
bass_electronic_018-029-025.wav,29,43.653528929125486,22757.7734375,4578.84326171875,154.8723907470703,0.009602702799297515,16128
bass_electronic_018-029-075.wav,29,43.653528929125486,22910.453125,4645.3056640625,159.88851928710938,0.00991372267405192,16128
bass_electronic_018-030-050.wav,30,46.2493028389543,23135.0234375,4605.99072265625,152.8085174560547,0.009474734465281168,16128
bass_electronic_018-031-025.wav,31,48.999429497718666,28248.208984375,4657.4287109375,176.2216796875,0.010926443433004713,16128
bass_electronic_018-032-025.wav,32,51.91308719749314,27873.880859375,4549.015625,167.38189697265625,0.010378341826181563,16128
bass_electronic_018-032-127.wav,32,51.91308719749314,27377.60546875,4685.00048828125,170.8079071044922,0.010590768049633692,16128
bass_electronic_018-033-075.wav,33,55.0,25528.560546875,4481.8642578125,147.42669677734375,0.009141040226769826,16128
bass_electronic_018-035-075.wav,35,61.7354126570155,24343.150390625,4608.70458984375,163.33267211914062,0.010127273816911002,16128
bass_electronic_018-035-100.wav,35,61.7354126570155,24044.38671875,4721.67431640625,170.67344665527344,0.010582430968208918,16128
bass_electronic_018-035-127.wav,35,61.7354126570155,24081.521484375,4705.97607421875,166.42318725585938,0.010318898019336518,16128
bass_electronic_018-037-025.wav,37,69.29565774421802,24563.08984375,4779.2060546875,188.81053161621094,0.011707002208346412,16128
bass_electronic_018-037-050.wav,37,69.29565774421802,24664.376953125,4881.400390625,194.04527282714844,0.012031576936207121,16128
bass_electronic_018-037-100.wav,37,69.29565774421802,23899.154296875,4822.9169921875,187.4320068359375,0.011621528201633029,16128
bass_electronic_018-040-050.wav,40,82.4068892282175,24187.517578125,4534.255859375,156.12437438964844,0.009680330753326416,16128
bass_electronic_018-040-100.wav,40,82.4068892282175,24151.80078125,4690.87451171875,162.30796813964844,0.010063738103896852,16128
bass_electronic_018-041-050.wav,41,87.30705785825097,25412.384765625,4758.7216796875,169.8905792236328,0.010533890080830407,16128
bass_electronic_018-043-075.wav,43,97.99885899543733,25366.67578125,5013.90380859375,190.15904235839844,0.01179061522559514,16128
bass_electronic_018-044-075.wav,44,103.82617439498628,24225.361328125,5059.833984375,192.6262969970703,0.011943594803885809,16128
bass_electronic_018-045-075.wav,45,110.0,24326.80078125,5062.09228515625,197.88742065429688,0.012269805348108686,16128
bass_electronic_018-048-075.wav,48,130.8127826502993,24232.88671875,5152.8115234375,206.56845092773438,0.012808063673594642,16128
bass_electronic_018-049-050.wav,49,138.59131548843604,24774.76953125,5162.79736328125,212.20411682128906,0.013157497322748578,16128
bass_electronic_018-049-075.wav,49,138.59131548843604,24651.865234375,5173.9951171875,213.1197052001953,0.013214267435527983,16128
bass_electronic_018-050-025.wav,50,146.8323839587038,25723.763671875,5087.8564453125,205.96417236328125,0.012770596004667737,16128
bass_electronic_018-050-075.wav,50,146.8323839587038,25454.931640625,5079.017578125,205.45724487304688,0.01273916448865618,16128
bass_electronic_018-051-100.wav,51,155.56349186104046,24471.734375,5127.88671875,209.08255004882812,0.012963947795686267,16128
bass_electronic_018-052-075.wav,52,164.81377845643496,24187.150390625,5005.73291015625,207.1510772705078,0.01284418881885589,16128
bass_electronic_018-053-075.wav,53,174.61411571650194,26412.033203125,5007.92138671875,204.83982849121094,0.012700882222917344,16128
bass_electronic_018-054-050.wav,54,184.9972113558172,23368.693359375,4958.56689453125,208.6292266845703,0.012935839948200044,16128
bass_electronic_018-054-100.wav,54,184.9972113558172,23749.12890625,5044.05224609375,212.0050811767578,0.013145156322963654,16128
bass_electronic_018-056-025.wav,56,207.65234878997256,23845.431640625,5063.451171875,213.85348510742188,0.013259764701601059,16128
bass_electronic_018-057-100.wav,57,220.0,25045.201171875,5118.40478515625,211.66456604003906,0.013124043033236549,16128
bass_electronic_018-058-100.wav,58,233.08188075904496,23740.9921875,5097.67529296875,218.53713989257812,0.013550169884212433,16128
bass_electronic_018-059-025.wav,59,246.94165062806206,25556.419921875,5095.7099609375,213.36402893066406,0.013229416476355659,16128
bass_electronic_018-060-075.wav,60,261.6255653005986,24057.896484375,5097.25439453125,211.24215698242188,0.013097851995437865,16128
bass_electronic_018-061-050.wav,61,277.1826309768721,25474.947265625,5111.072265625,215.14309692382812,0.013339725751725455,16128
bass_electronic_018-061-075.wav,61,277.1826309768721,25998.953125,5126.517578125,215.61911010742188,0.01336924045804947,16128
bass_electronic_018-062-025.wav,62,293.6647679174076,25353.322265625,5123.28271484375,214.0911407470703,0.013274500294337197,16128
bass_electronic_018-062-075.wav,62,293.6647679174076,24728.5,5152.90283203125,214.97235107421875,0.013329138831486778,16128
bass_electronic_018-063-050.wav,63,311.1269837220809,23849.322265625,5134.1494140625,210.97317504882812,0.013081174048166427,16128
bass_electronic_018-063-075.wav,63,311.1269837220809,23922.345703125,5168.396484375,211.96127319335938,0.013142440054151747,16128
bass_electronic_025-022-050.wav,22,29.13523509488062,24580.267578125,5342.98388671875,193.18212890625,0.011978058587937128,16128
bass_electronic_025-023-100.wav,23,30.86770632850775,26752.779296875,4806.07470703125,138.16860961914062,0.008567002084520128,16128
bass_electronic_025-024-127.wav,24,32.70319566257483,27695.708984375,4805.5654296875,142.77264404296875,0.008852470488775344,16128
bass_electronic_025-025-025.wav,25,34.64782887210901,26262.599609375,4883.89501953125,153.9385986328125,0.009544803982689268,16128
bass_electronic_025-025-127.wav,25,34.64782887210901,25632.564453125,4826.64794921875,148.97593688964844,0.00923709926151094,16128
