loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate,epoch
2.1198928356170654,0.16083332896232605,2.218080997467041,0.15026596188545227,0.0003000000142492354,0
2.0238046646118164,0.1914999932050705,1.9985426664352417,0.18484042584896088,0.0003000000142492354,1
1.9777156114578247,0.20516666769981384,1.9410319328308105,0.21609042584896088,0.0003000000142492354,2
1.9356765747070312,0.22683332860469818,1.9208122491836548,0.22074468433856964,0.0003000000142492354,3
1.9149163961410522,0.2291666716337204,2.1746573448181152,0.18484042584896088,0.0003000000142492354,4
1.8982272148132324,0.242166668176651,1.9795739650726318,0.20678190886974335,0.0003000000142492354,5
1.8838648796081543,0.24516665935516357,1.9693650007247925,0.22473403811454773,0.0003000000142492354,6
1.8722089529037476,0.24533332884311676,2.122976541519165,0.1948138326406479,0.0003000000142492354,7
1.865740418434143,0.2513333261013031,1.8938689231872559,0.23537233471870422,0.0003000000142492354,8
1.8342878818511963,0.26116666197776794,2.0119524002075195,0.22406914830207825,0.0003000000142492354,9
1.8202513456344604,0.2698333263397217,2.006631851196289,0.21276596188545227,0.0003000000142492354,10
1.8127917051315308,0.2736666798591614,1.8287299871444702,0.2639627754688263,0.0003000000142492354,11
1.7917234897613525,0.2809999883174896,1.7779037952423096,0.2739361822605133,0.0003000000142492354,12
1.7742319107055664,0.29766666889190674,2.0170536041259766,0.2327127605676651,0.0003000000142492354,13
1.762807011604309,0.2933333218097687,1.8350716829299927,0.2845744788646698,0.0003000000142492354,14
1.7516884803771973,0.29783332347869873,2.2739555835723877,0.21609042584896088,0.0003000000142492354,15
1.7476856708526611,0.30433332920074463,1.7869168519973755,0.28590425848960876,0.0003000000142492354,16
1.7316815853118896,0.31333333253860474,1.822794795036316,0.27659574151039124,0.0003000000142492354,17
1.7071256637573242,0.31433331966400146,2.0116569995880127,0.24202127754688263,0.0003000000142492354,18
1.6441524028778076,0.34583333134651184,1.7505723237991333,0.29055851697921753,0.0001500000071246177,19
1.6200926303863525,0.3544999957084656,1.775296926498413,0.2952127754688263,0.0001500000071246177,20
1.6136606931686401,0.36016666889190674,1.8609395027160645,0.2845744788646698,0.0001500000071246177,21
1.5947279930114746,0.35716667771339417,1.8947622776031494,0.2839095890522003,0.0001500000071246177,22
1.5764849185943604,0.3723333477973938,1.808334469795227,0.2845744788646698,0.0001500000071246177,23
1.5528194904327393,0.37700000405311584,1.9654932022094727,0.2885638177394867,0.0001500000071246177,24
1.5465819835662842,0.37933334708213806,1.8730545043945312,0.29720744490623474,0.0001500000071246177,25
1.4879359006881714,0.40683332085609436,1.9046571254730225,0.2839095890522003,7.500000356230885e-05,26
1.4761031866073608,0.40799999237060547,1.8775371313095093,0.2945478856563568,7.500000356230885e-05,27
1.4652950763702393,0.42016667127609253,1.8578921556472778,0.3131648898124695,7.500000356230885e-05,28
1.463668942451477,0.4191666543483734,1.8332959413528442,0.3118351101875305,7.500000356230885e-05,29
1.4488747119903564,0.42783331871032715,1.901365876197815,0.29321807622909546,7.500000356230885e-05,30
1.4458492994308472,0.4308333396911621,1.8803094625473022,0.30385637283325195,7.500000356230885e-05,31
1.3950506448745728,0.44749999046325684,1.8716726303100586,0.31050533056259155,3.7500001781154424e-05,32
1.3936340808868408,0.4424999952316284,1.9080195426940918,0.29321807622909546,3.7500001781154424e-05,33
1.3920576572418213,0.45216667652130127,1.9161131381988525,0.291223406791687,3.7500001781154424e-05,34
1.3895156383514404,0.45266667008399963,1.9133552312850952,0.301196813583374,3.7500001781154424e-05,35
1.3832882642745972,0.4514999985694885,1.9203197956085205,0.30651596188545227,3.7500001781154424e-05,36
1.3650140762329102,0.453166663646698,1.9629935026168823,0.3125,3.7500001781154424e-05,37
