epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
0,1.3715224266052246,0.3086470663547516,1.3343571424484253,0.335833340883255,0.00019999999494757503
1,1.279436469078064,0.376764714717865,1.2020498514175415,0.41066667437553406,0.00019999999494757503
2,1.201825737953186,0.42161765694618225,1.1694360971450806,0.4573333263397217,0.00019999999494757503
3,1.1451051235198975,0.4526764750480652,1.0785205364227295,0.48883333802223206,0.00019999999494757503
4,1.0969287157058716,0.477117657661438,1.0426194667816162,0.5046666860580444,0.00019999999494757503
5,1.0667153596878052,0.4917352795600891,1.0600833892822266,0.4945000112056732,0.00019999999494757503
6,1.0367087125778198,0.5066764950752258,1.064916968345642,0.4976666569709778,0.00019999999494757503
7,0.970822274684906,0.5349705815315247,0.9629220962524414,0.547166645526886,9.999999747378752e-05
8,0.9507953524589539,0.5407646894454956,0.9473425149917603,0.5503333210945129,9.999999747378752e-05
9,0.9361240863800049,0.5488823652267456,0.9158628582954407,0.5558333396911621,9.999999747378752e-05
10,0.9230902791023254,0.556705892086029,0.9342539310455322,0.559333324432373,9.999999747378752e-05
11,0.9109750390052795,0.5618235468864441,0.9146873354911804,0.5618333220481873,9.999999747378752e-05
12,0.898559033870697,0.5699411630630493,0.8970789909362793,0.5741666555404663,9.999999747378752e-05
13,0.8855283260345459,0.5691764950752258,0.9250707030296326,0.5643333196640015,9.999999747378752e-05
14,0.8751497864723206,0.5770882368087769,0.9223746061325073,0.562666654586792,9.999999747378752e-05
15,0.8434123396873474,0.5926176309585571,0.8895130157470703,0.5801666378974915,4.999999873689376e-05
16,0.8310974836349487,0.5969706177711487,0.8982564806938171,0.574999988079071,4.999999873689376e-05
17,0.8235405087471008,0.600352942943573,0.9254565238952637,0.5741666555404663,4.999999873689376e-05
18,0.8052763342857361,0.605970561504364,0.895924985408783,0.5853333473205566,2.499999936844688e-05
19,0.7927650213241577,0.6129117608070374,0.8935606479644775,0.5896666646003723,2.499999936844688e-05
20,0.786614179611206,0.6164411902427673,0.8736129403114319,0.5956666469573975,1.249999968422344e-05
21,0.781633198261261,0.6172941327095032,0.879481852054596,0.5951666831970215,1.249999968422344e-05
22,0.7797524333000183,0.6223823428153992,0.8975419998168945,0.5924999713897705,1.249999968422344e-05
23,0.7711664438247681,0.6232059001922607,0.8902684450149536,0.5896666646003723,6.24999984211172e-06
24,0.7707427740097046,0.6240882277488708,0.88565593957901,0.5910000205039978,6.24999984211172e-06
25,0.7710273861885071,0.6226764917373657,0.8892646431922913,0.590833306312561,3.12499992105586e-06
