epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
14,1.0321533679962158,0.5287500023841858,1.0580624341964722,0.5274999737739563,0.00019999999494757503
15,0.9991700053215027,0.5357353091239929,1.1265056133270264,0.5425000190734863,0.00019999999494757503
16,0.977013111114502,0.5477206110954285,0.9176386594772339,0.5866666436195374,0.00019999999494757503
17,0.9332523941993713,0.5697793960571289,0.9777332544326782,0.5699999928474426,0.00019999999494757503
18,0.9234781265258789,0.5797793865203857,0.949374258518219,0.5733333230018616,0.00019999999494757503
19,0.889297604560852,0.5966176390647888,0.932594895362854,0.5854166746139526,0.00019999999494757503
20,0.8042798042297363,0.6398529410362244,0.8488644361495972,0.6304166913032532,9.999999747378752e-05
21,0.7596108317375183,0.6546323299407959,0.9649456739425659,0.5975000262260437,9.999999747378752e-05
22,0.7500888705253601,0.6611764430999756,0.994138777256012,0.6041666865348816,9.999999747378752e-05
23,0.7345637083053589,0.671470582485199,0.886240541934967,0.6324999928474426,9.999999747378752e-05
24,0.6728712320327759,0.6991176605224609,0.8688352704048157,0.6479166746139526,4.999999873689376e-05
25,0.6516637206077576,0.710661768913269,0.8811938762664795,0.6424999833106995,4.999999873689376e-05
26,0.6425135135650635,0.712426483631134,0.8299668431282043,0.6608333587646484,4.999999873689376e-05
27,0.6325812339782715,0.7177205681800842,0.8877318501472473,0.6570833325386047,4.999999873689376e-05
28,0.6201125383377075,0.7214705944061279,0.8533772826194763,0.6583333611488342,4.999999873689376e-05
29,0.6060959100723267,0.7331617474555969,0.869033932685852,0.6541666388511658,4.999999873689376e-05
30,0.5720270276069641,0.7529411911964417,0.9150874018669128,0.659166693687439,2.499999936844688e-05
31,0.5552027225494385,0.7552205920219421,0.9345370531082153,0.6549999713897705,2.499999936844688e-05
32,0.5549142956733704,0.7562500238418579,0.8892372846603394,0.659166693687439,2.499999936844688e-05
