epoch,env_car_attack_head_loss,env_car_attack_head_mae,env_car_decay_head_loss,env_car_decay_head_mae,env_car_release_head_loss,env_car_release_head_mae,env_car_sustain_head_loss,env_car_sustain_head_mae,env_mod_attack_head_loss,env_mod_attack_head_mae,env_mod_decay_head_loss,env_mod_decay_head_mae,env_mod_release_head_loss,env_mod_release_head_mae,env_mod_sustain_head_loss,env_mod_sustain_head_mae,loss,val_env_car_attack_head_loss,val_env_car_attack_head_mae,val_env_car_decay_head_loss,val_env_car_decay_head_mae,val_env_car_release_head_loss,val_env_car_release_head_mae,val_env_car_sustain_head_loss,val_env_car_sustain_head_mae,val_env_mod_attack_head_loss,val_env_mod_attack_head_mae,val_env_mod_decay_head_loss,val_env_mod_decay_head_mae,val_env_mod_release_head_loss,val_env_mod_release_head_mae,val_env_mod_sustain_head_loss,val_env_mod_sustain_head_mae,val_loss,learning_rate
10,0.14942583441734314,0.4288419485092163,0.13634417951107025,0.3849794864654541,0.023752812296152115,0.16925446689128876,0.12582693994045258,0.38923242688179016,0.138423889875412,0.41073474287986755,0.06611999869346619,0.2622142434120178,0.026886291801929474,0.17691411077976227,0.12703220546245575,0.3965620696544647,0.49069124460220337,0.13346993923187256,0.3828798830509186,0.12966881692409515,0.3579866886138916,0.010944412089884281,0.11151254177093506,0.11634423583745956,0.3787362575531006,0.12261289358139038,0.3748033940792084,0.058996908366680145,0.22515429556369781,0.012405367568135262,0.11363222450017929,0.10749447345733643,0.3519093692302704,0.4273751676082611,0.00019999999494757503
11,0.14805971086025238,0.4251309931278229,0.13246171176433563,0.37778952717781067,0.022323645651340485,0.16467784345149994,0.12336928397417068,0.3842616677284241,0.1364096850156784,0.40622463822364807,0.06268598139286041,0.2554413378238678,0.025462089106440544,0.17142446339130402,0.12272554636001587,0.387786865234375,0.4781638979911804,0.14847229421138763,0.40706080198287964,0.13197773694992065,0.357481449842453,0.010185661725699902,0.10661199688911438,0.10777948051691055,0.3516983687877655,0.1189897432923317,0.3641984462738037,0.05727772414684296,0.21633319556713104,0.010601622052490711,0.10109978914260864,0.09679039567708969,0.33803102374076843,0.42289113998413086,0.00019999999494757503
12,0.1464165300130844,0.42244237661361694,0.1285068839788437,0.37062108516693115,0.021203849464654922,0.15904343128204346,0.11808177828788757,0.3743693232536316,0.13426391780376434,0.4026590883731842,0.05990615859627724,0.2496349960565567,0.024824105203151703,0.16911473870277405,0.11945361644029617,0.3830829858779907,0.46547314524650574,0.13131190836429596,0.37990471720695496,0.13958735764026642,0.3794599175453186,0.00791243277490139,0.09115241467952728,0.12495947629213333,0.38724514842033386,0.12437523156404495,0.38678449392318726,0.053916025906801224,0.21062475442886353,0.010407853871583939,0.10126335918903351,0.1010776162147522,0.34235647320747375,0.4282025992870331,0.00019999999494757503
13,0.14491109549999237,0.4191499650478363,0.12540479004383087,0.3660033643245697,0.02059216797351837,0.15714342892169952,0.11750784516334534,0.37414154410362244,0.13276809453964233,0.3996177911758423,0.058009978383779526,0.2454790323972702,0.024071218445897102,0.1662018895149231,0.11778310686349869,0.38014641404151917,0.45815110206604004,0.13583937287330627,0.3911181688308716,0.12605369091033936,0.3578468859195709,0.007879943586885929,0.09159567207098007,0.10109531879425049,0.34437716007232666,0.11856669932603836,0.3631221055984497,0.04829447343945503,0.1990097314119339,0.011533509939908981,0.11008760333061218,0.09825150668621063,0.3366937041282654,0.4009495973587036,0.00019999999494757503
14,0.14357833564281464,0.4164050817489624,0.12282651662826538,0.36145707964897156,0.019627206027507782,0.15339437127113342,0.11481799930334091,0.36841249465942383,0.13128718733787537,0.3975902199745178,0.057206716388463974,0.2428247332572937,0.023186931386590004,0.16309447586536407,0.11494874954223633,0.3751966655254364,0.44988512992858887,0.13200527429580688,0.3798165023326874,0.1176089271903038,0.3338962495326996,0.008399826474487782,0.09575087577104568,0.10138452053070068,0.3457965552806854,0.11931872367858887,0.3679659068584442,0.05217575654387474,0.20244503021240234,0.01071531418710947,0.10084867477416992,0.09721251577138901,0.33316588401794434,0.3953736126422882,0.00019999999494757503
15,0.14342001080513,0.41638603806495667,0.11953234672546387,0.3548983633518219,0.018898410722613335,0.1502791941165924,0.11130901426076889,0.3626197278499603,0.12980832159519196,0.3940379023551941,0.055147070437669754,0.23797649145126343,0.02223428525030613,0.1598227322101593,0.1116117313504219,0.36904433369636536,0.4404827654361725,0.12781061232089996,0.37500959634780884,0.12699152529239655,0.34544554352760315,0.009606045670807362,0.10334622859954834,0.09599636495113373,0.33283668756484985,0.11761067062616348,0.3592287302017212,0.049486324191093445,0.19189780950546265,0.013573757372796535,0.10970363020896912,0.10229531675577164,0.34053799510002136,0.3983614444732666,0.00019999999494757503
16,0.1408931165933609,0.4111497700214386,0.11622129380702972,0.34976616501808167,0.01833331398665905,0.14784058928489685,0.10993481427431107,0.35992464423179626,0.12925320863723755,0.3932982385158539,0.05368686467409134,0.2344566434621811,0.021759897470474243,0.15756158530712128,0.1097220852971077,0.365882009267807,0.43290746212005615,0.12982752919197083,0.3752049505710602,0.1218162253499031,0.33856576681137085,0.008396625518798828,0.09612645208835602,0.10764505714178085,0.37042784690856934,0.12251073867082596,0.3763694167137146,0.051340170204639435,0.19775420427322388,0.009899578988552094,0.09425388276576996,0.10121490806341171,0.3387529253959656,0.40333691239356995,0.00019999999494757503
17,0.13692064583301544,0.4033667743206024,0.10486430674791336,0.3290589451789856,0.01626872643828392,0.13899916410446167,0.09912189096212387,0.3389858603477478,0.12131107598543167,0.3785722851753235,0.04610094055533409,0.21834824979305267,0.019207613542675972,0.14846833050251007,0.10034934431314468,0.34766894578933716,0.3987467288970947,0.12353090196847916,0.36207443475723267,0.1105034202337265,0.31096723675727844,0.007161368150264025,0.08571694791316986,0.09197346121072769,0.32719969749450684,0.11010589450597763,0.3487524688243866,0.044099360704422,0.18452031910419464,0.009519652463495731,0.09434372931718826,0.08497397601604462,0.30428990721702576,0.3605194389820099,9.999999747378752e-05
18,0.13457243144512177,0.3987862169742584,0.10108403116464615,0.3215518295764923,0.015713216736912727,0.13711270689964294,0.09627323597669601,0.33473217487335205,0.12034084647893906,0.37574151158332825,0.0442374162375927,0.21446657180786133,0.01861203834414482,0.14607110619544983,0.0972699224948883,0.3426782786846161,0.388913631439209,0.12266994267702103,0.3595138490200043,0.10782093554735184,0.30937013030052185,0.0062288870103657246,0.07794859260320663,0.08292589336633682,0.30019286274909973,0.11340813338756561,0.3490183651447296,0.04609297588467598,0.18442313373088837,0.008695392869412899,0.08847564458847046,0.08535150438547134,0.30681556463241577,0.35574793815612793,9.999999747378752e-05
19,0.13481105864048004,0.3997461795806885,0.10032768547534943,0.3196789026260376,0.01567060314118862,0.13657033443450928,0.09508740156888962,0.331403523683548,0.11910740286111832,0.37418797612190247,0.04417947679758072,0.21336965262889862,0.018326591700315475,0.14464236795902252,0.0956018790602684,0.33898937702178955,0.3859535753726959,0.12493714690208435,0.36303555965423584,0.11098018288612366,0.3158484101295471,0.005816221237182617,0.07490511983633041,0.08325571566820145,0.29932260513305664,0.11027328670024872,0.34738650918006897,0.041582975536584854,0.18066857755184174,0.009546973742544651,0.09046364575624466,0.08842175453901291,0.3151591718196869,0.3564611077308655,9.999999747378752e-05
