epoch,algorithm_head_loss,algorithm_head_sparse_categorical_accuracy,freq_log2_head_loss,freq_log2_head_mae,freq_log2_head_mse,loss,prefix_head_loss,prefix_head_sparse_categorical_accuracy,ratio_log2_head_loss,ratio_log2_head_mae,ratio_log2_head_mse,suffix_head_loss,suffix_head_sparse_categorical_accuracy,val_algorithm_head_loss,val_algorithm_head_sparse_categorical_accuracy,val_freq_log2_head_loss,val_freq_log2_head_mae,val_freq_log2_head_mse,val_loss,val_prefix_head_loss,val_prefix_head_sparse_categorical_accuracy,val_ratio_log2_head_loss,val_ratio_log2_head_mae,val_ratio_log2_head_mse,val_suffix_head_loss,val_suffix_head_sparse_categorical_accuracy,learning_rate
0,0.9980759024620056,0.3679206371307373,0.23598918318748474,0.5640045404434204,0.5060014724731445,4.128232479095459,1.0135223865509033,0.5018602609634399,0.4761521816253662,0.8766945600509644,1.0720164775848389,1.3149983882904053,0.37908226251602173,0.6335128545761108,0.46942147612571716,0.1299864500761032,0.4100613296031952,0.2628437280654907,2.737907886505127,0.7646695971488953,0.6099173426628113,0.42079344391822815,0.8174945116043091,0.9302279353141785,0.9146838188171387,0.5652892589569092,0.00019999999494757503
1,0.6492453217506409,0.5398924946784973,0.17258474230766296,0.47544994950294495,0.3575478196144104,2.8298676013946533,0.7778863906860352,0.6300123929977417,0.43409788608551025,0.825263261795044,0.9650989770889282,0.9657306671142578,0.556014895439148,0.5531668663024902,0.5586776733398438,0.09793287515640259,0.3520747423171997,0.1989152431488037,2.4035234451293945,0.6589381098747253,0.6727272868156433,0.3821948170661926,0.7525015473365784,0.8603000044822693,0.8500792980194092,0.5933884382247925,0.00019999999494757503
2,0.5093069672584534,0.6126498579978943,0.14670659601688385,0.4348709285259247,0.3005616366863251,2.2773890495300293,0.6688922047615051,0.6614303588867188,0.39190176129341125,0.7743600010871887,0.867979884147644,0.8026401996612549,0.6192641854286194,0.5632703900337219,0.5851239562034607,0.05715350806713104,0.2647416591644287,0.11465887725353241,2.4520506858825684,0.7916970252990723,0.6363636255264282,0.30090847611427307,0.6568214893341064,0.6478581428527832,0.9272695779800415,0.5834710597991943,0.00019999999494757503
3,0.46099576354026794,0.6391070485115051,0.12419703602790833,0.3994789719581604,0.25271111726760864,2.093139410018921,0.62690269947052,0.6878875494003296,0.3702305853366852,0.7428687810897827,0.8127272129058838,0.7586808800697327,0.6386936902999878,0.5694895386695862,0.6033057570457458,0.058091696351766586,0.2689034938812256,0.11651234328746796,2.420929193496704,0.7001499533653259,0.676033079624176,0.2775212526321411,0.6270406246185303,0.58137446641922,0.9051631093025208,0.6049586534500122,0.00019999999494757503
4,0.4342612624168396,0.6494418978691101,0.11626333743333817,0.38603079319000244,0.23618672788143158,1.9787412881851196,0.6037569642066956,0.7019429802894592,0.34949976205825806,0.7186875939369202,0.7586649656295776,0.7227970361709595,0.6498553156852722,0.4928034842014313,0.6363636255264282,0.05594493821263313,0.2673071622848511,0.11173335462808609,2.155003786087036,0.7356685400009155,0.6694214940071106,0.2671949565410614,0.6171337962150574,0.5630068778991699,0.7949228286743164,0.6429752111434937,0.00019999999494757503
5,0.3972066640853882,0.6742455363273621,0.10210695117712021,0.35637837648391724,0.20684894919395447,1.8169670104980469,0.5711040496826172,0.7126911878585815,0.3213207423686981,0.6805993914604187,0.6930346488952637,0.6774014234542847,0.6688714623451233,0.3651852607727051,0.6958677768707275,0.06252556294202805,0.28016191720962524,0.12544462084770203,1.6564273834228516,0.578355073928833,0.7256198525428772,0.23669631779193878,0.5707200169563293,0.4935816824436188,0.6515504121780396,0.702479362487793,0.00019999999494757503
6,0.3465004563331604,0.6854072213172913,0.09332598000764847,0.34365153312683105,0.18842773139476776,1.6096934080123901,0.5157280564308167,0.7403885722160339,0.28859660029411316,0.6389328241348267,0.6200302839279175,0.6157687306404114,0.6965688467025757,0.3882763981819153,0.6909090876579285,0.053766101598739624,0.2521425783634186,0.10781338065862656,1.711720585823059,0.5890954732894897,0.715702474117279,0.2117251306772232,0.5324807167053223,0.4363335371017456,0.640618622303009,0.6991735696792603,0.00019999999494757503
7,0.3396684229373932,0.6916081309318542,0.09116337448358536,0.33406588435173035,0.1839524656534195,1.5629944801330566,0.512443482875824,0.7358412742614746,0.2586844265460968,0.5955821871757507,0.5529216527938843,0.5960767865180969,0.7126911878585815,0.5716605186462402,0.581818163394928,0.06304684281349182,0.27831342816352844,0.12597838044166565,2.4557924270629883,0.7929697036743164,0.6280992031097412,0.2586735785007477,0.5970975756645203,0.5614748597145081,0.9204392433166504,0.5950413346290588,0.00019999999494757503
