loss,mae,mse,val_loss,val_mae,val_mse,epoch
0.9405232667922974,0.804335355758667,0.9405232667922974,0.9344689846038818,0.7992843389511108,0.9344689846038818,0
0.9162612557411194,0.7886254787445068,0.9162612557411194,0.9198204874992371,0.7857601046562195,0.9198204874992371,1
0.9075397253036499,0.7830315828323364,0.9075397253036499,0.9133179783821106,0.7835346460342407,0.9133179783821106,2
0.9024912714958191,0.7799321413040161,0.9024912714958191,0.910127580165863,0.7818304300308228,0.910127580165863,3
0.8981710076332092,0.7770781517028809,0.8981710076332092,0.9083247184753418,0.7810407876968384,0.9083247184753418,4
0.8950546979904175,0.7749522924423218,0.8950546979904175,0.9063653945922852,0.777878999710083,0.9063653945922852,5
0.8915079832077026,0.7726212739944458,0.8915079832077026,0.9058138728141785,0.7768018245697021,0.9058138728141785,6
0.8887123465538025,0.771029531955719,0.8887123465538025,0.9041411280632019,0.7761681079864502,0.9041411280632019,7
0.8859918713569641,0.7692765593528748,0.8859918713569641,0.9014971256256104,0.7745058536529541,0.9014971256256104,8
0.8831372857093811,0.7676823139190674,0.8831372857093811,0.9023628830909729,0.7749602794647217,0.9023628830909729,9
0.88039231300354,0.7661207914352417,0.88039231300354,0.9026758670806885,0.7732654809951782,0.9026758670806885,10
0.8779167532920837,0.7643646597862244,0.8779167532920837,0.9031918048858643,0.775603175163269,0.9031918048858643,11
0.8747159838676453,0.7627661228179932,0.8747159838676453,0.9033029079437256,0.776079535484314,0.9033029079437256,12
0.8722442984580994,0.7613545656204224,0.8722442984580994,0.903660237789154,0.7752975821495056,0.903660237789154,13
0.8690254092216492,0.7598763108253479,0.8690254092216492,0.9046580195426941,0.7741732001304626,0.9046580195426941,14
0.8664124608039856,0.7583239674568176,0.8664124608039856,0.9067898988723755,0.7740157842636108,0.9067898988723755,15
0.8634496331214905,0.7569401264190674,0.8634496331214905,0.907869279384613,0.7729202508926392,0.907869279384613,16
0.8601094484329224,0.754928469657898,0.8601094484329224,0.9101144075393677,0.7767276167869568,0.9101144075393677,17
0.856543779373169,0.7533021569252014,0.856543779373169,0.9113616347312927,0.7752017378807068,0.9113616347312927,18
0.853239893913269,0.7512904405593872,0.853239893913269,0.9127264022827148,0.7778456211090088,0.9127264022827148,19
0.8507110476493835,0.750034749507904,0.8507110476493835,0.9137849807739258,0.7755552530288696,0.9137849807739258,20
0.8475831747055054,0.7483055591583252,0.8475831747055054,0.9181609749794006,0.7778257727622986,0.9181609749794006,21
0.8438340425491333,0.7462475299835205,0.8438340425491333,0.9167988896369934,0.7779543399810791,0.9167988896369934,22
0.8411123156547546,0.7449628710746765,0.8411123156547546,0.9200142621994019,0.7793973088264465,0.9200142621994019,23
0.8368245363235474,0.7422648072242737,0.8368245363235474,0.9214179515838623,0.7773829698562622,0.9214179515838623,24
0.8342143297195435,0.7411704659461975,0.8342143297195435,0.926379382610321,0.7806767821311951,0.926379382610321,25
0.8308490514755249,0.7392058372497559,0.8308490514755249,0.9264203310012817,0.7810158133506775,0.9264203310012817,26
0.8273290991783142,0.7372730374336243,0.8273290991783142,0.9284790754318237,0.7803716063499451,0.9284790754318237,27
0.8236028552055359,0.7354644536972046,0.8236028552055359,0.9317995309829712,0.7796163558959961,0.9317995309829712,28
