epoch,algorithm_head_loss,algorithm_head_sparse_categorical_accuracy,loss,numeric_head_loss,numeric_head_mae,numeric_head_mse,val_algorithm_head_loss,val_algorithm_head_sparse_categorical_accuracy,val_loss,val_numeric_head_loss,val_numeric_head_mae,val_numeric_head_mse,learning_rate
0,0.9955989718437195,0.46988606452941895,1.299973726272583,0.3061524033546448,0.6393333673477173,0.7039695382118225,1.4669774770736694,0.2494577020406723,1.9422786235809326,0.4623265266418457,0.8902983665466309,1.043203353881836,0.0003000000142492354
1,0.8767533302307129,0.5018990635871887,1.1437031030654907,0.26693210005760193,0.5796658992767334,0.6169682741165161,1.5359910726547241,0.2516269087791443,2.0339348316192627,0.48004743456840515,0.9094275236129761,1.052759051322937,0.0003000000142492354
2,0.8689844012260437,0.5111231803894043,1.1212129592895508,0.25988709926605225,0.569501519203186,0.5981042981147766,1.1467039585113525,0.37744033336639404,1.4972134828567505,0.34663552045822144,0.6957625150680542,0.8559108972549438,0.0003000000142492354
3,0.8537335991859436,0.508952796459198,1.106722116470337,0.25891149044036865,0.5640177130699158,0.5897665619850159,0.9467359781265259,0.46854662895202637,1.2416709661483765,0.3003379702568054,0.6147271990776062,0.72208172082901,0.0003000000142492354
4,0.8367552161216736,0.5404232144355774,1.0842987298965454,0.24652624130249023,0.5475534200668335,0.5712608098983765,0.8595895767211914,0.4772234261035919,1.1147513389587402,0.26258355379104614,0.5559152364730835,0.6329343318939209,0.0003000000142492354
5,0.8382516503334045,0.5263158082962036,1.0803396701812744,0.24309758841991425,0.5391790866851807,0.5635234117507935,0.8871968388557434,0.4381778836250305,1.1600415706634521,0.28106725215911865,0.5875447392463684,0.6873670816421509,0.0003000000142492354
6,0.8324312567710876,0.5165491104125977,1.0733580589294434,0.24611720442771912,0.5428958535194397,0.5660181045532227,0.8608325719833374,0.48590022325515747,1.1204630136489868,0.2681977152824402,0.5980631113052368,0.5970492362976074,0.0003000000142492354
7,0.8280077576637268,0.5404232144355774,1.060178518295288,0.23396369814872742,0.5260847806930542,0.5407439470291138,0.8622651696205139,0.509761393070221,1.112169623374939,0.25924670696258545,0.5487915277481079,0.6284282207489014,0.0001500000071246177
8,0.8231344819068909,0.5387954711914062,1.0566128492355347,0.23137614130973816,0.5262477397918701,0.5363844037055969,0.8734328746795654,0.5162689685821533,1.1164889335632324,0.2542714774608612,0.5601698756217957,0.596272349357605,0.0001500000071246177
9,0.8247998952865601,0.5360824465751648,1.0540517568588257,0.23061642050743103,0.518500566482544,0.5370233654975891,0.86509770154953,0.5010846257209778,1.1351100206375122,0.2799358069896698,0.5716356635093689,0.701541543006897,0.0001500000071246177
10,0.8161754012107849,0.5382528305053711,1.045337438583374,0.22873015701770782,0.516351044178009,0.5309041738510132,0.8623096942901611,0.509761393070221,1.1120961904525757,0.25929269194602966,0.5564916729927063,0.6250190734863281,7.500000356230885e-05
11,0.8101683855056763,0.5485621094703674,1.0373680591583252,0.2254522442817688,0.5095680356025696,0.5303415060043335,0.8689438700675964,0.5075922012329102,1.128709077835083,0.27051591873168945,0.5734296441078186,0.664429783821106,7.500000356230885e-05
12,0.8148872256278992,0.548019528388977,1.040502905845642,0.2287594974040985,0.5124167799949646,0.5262318849563599,0.8668302893638611,0.5075922012329102,1.1126867532730103,0.2562258243560791,0.5551110506057739,0.61290442943573,3.7500001781154424e-05
13,0.8085659146308899,0.5436787605285645,1.0320186614990234,0.22291553020477295,0.5078421235084534,0.5161097049713135,0.8696261644363403,0.5075922012329102,1.1059685945510864,0.24796248972415924,0.5421358346939087,0.5816119313240051,3.7500001781154424e-05
14,0.8119238615036011,0.5561584234237671,1.031911849975586,0.2208167165517807,0.4991917014122009,0.5172647833824158,0.872870683670044,0.5010846257209778,1.1172418594360352,0.25552016496658325,0.5554689168930054,0.6103993654251099,3.7500001781154424e-05
15,0.8162385821342468,0.5458491444587708,1.0363885164260864,0.22341150045394897,0.505184531211853,0.5189679265022278,0.8726477026939392,0.5010846257209778,1.1151554584503174,0.25442996621131897,0.5432034730911255,0.6121777296066284,3.7500001781154424e-05
16,0.8059870600700378,0.5572436451911926,1.0316832065582275,0.2232901006937027,0.5051188468933105,0.5195951461791992,0.8723356127738953,0.4989154040813446,1.1154866218566895,0.254534512758255,0.5458359122276306,0.6136506199836731,1.8750000890577212e-05
17,0.807177722454071,0.5604991912841797,1.0347375869750977,0.2299659103155136,0.5094916224479675,0.5297569036483765,0.873772919178009,0.494577020406723,1.1194578409194946,0.2570330798625946,0.5482507348060608,0.6231569051742554,1.8750000890577212e-05
