epoch,freq_log2_head_loss,freq_log2_head_mae,loss,ratio_log2_head_loss,ratio_log2_head_mae,val_freq_log2_head_loss,val_freq_log2_head_mae,val_loss,val_ratio_log2_head_loss,val_ratio_log2_head_mae,learning_rate
0,0.11305814981460571,0.37305188179016113,0.3503704369068146,0.2762433588504791,0.6138377785682678,0.040403205901384354,0.22219018638134003,0.145778089761734,0.12157253921031952,0.3886716365814209,0.00019999999494757503
1,0.06349577754735947,0.27933555841445923,0.18551373481750488,0.14263033866882324,0.4158541262149811,0.03179271146655083,0.19327901303768158,0.10475629568099976,0.08460312336683273,0.3168450891971588,0.00019999999494757503
2,0.052325453609228134,0.25248876214027405,0.14309266209602356,0.10666633397340775,0.3509756326675415,0.04636017978191376,0.23362909257411957,0.10999571532011032,0.0758572667837143,0.2983911633491516,0.00019999999494757503
3,0.045499563217163086,0.2360512912273407,0.12070512026548386,0.08861702680587769,0.31752222776412964,0.03312191739678383,0.19799232482910156,0.08162125200033188,0.057568322867155075,0.2561229169368744,0.00019999999494757503
4,0.041260361671447754,0.2242347151041031,0.10567311942577362,0.07615405321121216,0.2918955683708191,0.031201692298054695,0.19331851601600647,0.08859387040138245,0.06723595410585403,0.27160292863845825,0.00019999999494757503
5,0.03831884637475014,0.21600154042243958,0.09752202779054642,0.07003898918628693,0.27716830372810364,0.025700634345412254,0.17361411452293396,0.07089748978614807,0.05307431519031525,0.2377694696187973,0.00019999999494757503
6,0.036150675266981125,0.2088150978088379,0.09160670638084412,0.06563492119312286,0.26708003878593445,0.025610344484448433,0.17219939827919006,0.0621148943901062,0.04340628162026405,0.2069215029478073,0.00019999999494757503
7,0.03426516801118851,0.20321308076381683,0.0839114561676979,0.05896962061524391,0.2521030604839325,0.020521434023976326,0.1551254540681839,0.058206431567668915,0.044152382761240005,0.21646808087825775,0.00019999999494757503
8,0.03261119872331619,0.19809699058532715,0.08067609369754791,0.05702874809503555,0.24732887744903564,0.024869419634342194,0.16665607690811157,0.05574880912899971,0.03707369044423103,0.1936204433441162,0.00019999999494757503
9,0.031138693913817406,0.19302929937839508,0.07477008551359177,0.051939256489276886,0.23521535098552704,0.019387545064091682,0.14836306869983673,0.0526682548224926,0.0391327403485775,0.19695933163166046,0.00019999999494757503
10,0.03006921336054802,0.18990932404994965,0.0731247216463089,0.05118047073483467,0.23327291011810303,0.021979914978146553,0.15558336675167084,0.051393039524555206,0.03512342646718025,0.18391862511634827,0.00019999999494757503
11,0.029356827959418297,0.1867598444223404,0.06974015384912491,0.04813219606876373,0.22508998215198517,0.018025480210781097,0.142339289188385,0.04486827924847603,0.03182819485664368,0.17064112424850464,0.00019999999494757503
12,0.02810082584619522,0.18284550309181213,0.06770530343055725,0.047127313911914825,0.2214561551809311,0.018931815400719643,0.14610208570957184,0.0456196591258049,0.0317566953599453,0.17667913436889648,0.00019999999494757503
13,0.027199532836675644,0.17906689643859863,0.06450280547142029,0.04447038099169731,0.21507951617240906,0.02069627307355404,0.15496015548706055,0.05241789668798447,0.0375458188354969,0.18949276208877563,0.00019999999494757503
14,0.023731999099254608,0.16725435853004456,0.05390374734997749,0.0361611433327198,0.19587506353855133,0.020534975454211235,0.15326698124408722,0.044834330677986145,0.02928093448281288,0.17091909050941467,9.999999747378752e-05
15,0.02284446358680725,0.16417044401168823,0.05089116841554642,0.0337013378739357,0.18969999253749847,0.01492324285209179,0.12822234630584717,0.03595050424337387,0.02502177469432354,0.1518593281507492,9.999999747378752e-05
16,0.022294530645012856,0.16246625781059265,0.050678133964538574,0.03401445224881172,0.18916690349578857,0.01408359780907631,0.12532788515090942,0.0352540984749794,0.025087641552090645,0.15190507471561432,9.999999747378752e-05
17,0.021472496911883354,0.15870201587677002,0.047832537442445755,0.03167477622628212,0.1840725690126419,0.014804404228925705,0.1273047775030136,0.035204339772462845,0.02431151270866394,0.14931979775428772,9.999999747378752e-05
18,0.020924320444464684,0.15661606192588806,0.04682338982820511,0.031101645901799202,0.1806756854057312,0.01588849350810051,0.13269583880901337,0.03640201687812805,0.024558207020163536,0.15255597233772278,9.999999747378752e-05
19,0.019462471827864647,0.15095049142837524,0.04186008870601654,0.027048790827393532,0.17079481482505798,0.014464695006608963,0.12496137619018555,0.033111367374658585,0.022325662896037102,0.1456621289253235,4.999999873689376e-05
20,0.018857814371585846,0.14875586330890656,0.0405116081237793,0.02615503966808319,0.1678079515695572,0.01402830146253109,0.12180083245038986,0.032614607363939285,0.02221016213297844,0.14355133473873138,4.999999873689376e-05
21,0.018726110458374023,0.14812280237674713,0.04008826985955238,0.025816433131694794,0.1664036363363266,0.013051520101726055,0.1199876070022583,0.03209984302520752,0.0226149745285511,0.1415931135416031,4.999999873689376e-05
22,0.018496280536055565,0.147220641374588,0.040146052837371826,0.026110488921403885,0.16571174561977386,0.013887781649827957,0.12291330844163895,0.030629875138401985,0.02014542557299137,0.13603408634662628,4.999999873689376e-05
23,0.01826610416173935,0.14560702443122864,0.0390331968665123,0.025104058906435966,0.16312433779239655,0.013455372303724289,0.12166431546211243,0.030038153752684593,0.019920356571674347,0.13410870730876923,4.999999873689376e-05
24,0.018004506826400757,0.14475618302822113,0.03866416960954666,0.024955617263913155,0.16238504648208618,0.014107396826148033,0.12362122535705566,0.031695522367954254,0.021109826862812042,0.13773970305919647,4.999999873689376e-05
25,0.01752663590013981,0.1430501490831375,0.037838179618120193,0.024515777826309204,0.16121789813041687,0.012533093802630901,0.11630018055438995,0.02878945879638195,0.0194551944732666,0.13054144382476807,4.999999873689376e-05
26,0.01759633980691433,0.14279799163341522,0.03741658106446266,0.023977555334568024,0.1592283695936203,0.012496031820774078,0.11625002324581146,0.030156834051012993,0.02101156674325466,0.13511140644550323,4.999999873689376e-05
27,0.017368258908391,0.14196424186229706,0.03713409602642059,0.023891856893897057,0.15891069173812866,0.012053976766765118,0.11432363837957382,0.029867520555853844,0.021132156252861023,0.13750113546848297,4.999999873689376e-05
28,0.016769718378782272,0.13953539729118347,0.03518519550561905,0.02232491970062256,0.15457028150558472,0.012992898002266884,0.11766267567873001,0.02925911918282509,0.019517214968800545,0.1302563101053238,2.499999936844688e-05
29,0.016551636159420013,0.13865281641483307,0.03438728675246239,0.021656548604369164,0.15280863642692566,0.01248969230800867,0.11552391201257706,0.027492564171552658,0.018057577311992645,0.1266268789768219,2.499999936844688e-05
