log_mel_mae,loss,mae,stft_mae,val_log_mel_mae,val_loss,val_mae,val_stft_mae,learning_rate,epoch
5.076204299926758,3.9716129302978516,0.25616881251335144,1.3942049741744995,4.776214599609375,3.737856388092041,0.24721983075141907,1.3150192499160767,0.0010000000474974513,0
4.627852439880371,3.6421895027160645,0.2578091025352478,1.342298150062561,4.670477390289307,3.6518874168395996,0.24848920106887817,1.275178074836731,0.0010000000474974513,1
4.460660934448242,3.5147180557250977,0.25867959856987,1.3075112104415894,4.2519755363464355,3.3506357669830322,0.2480451911687851,1.2475109100341797,0.0010000000474974513,2
4.355728626251221,3.4357714653015137,0.2592485845088959,1.2892086505889893,4.37498664855957,3.4342710971832275,0.24885514378547668,1.2392771244049072,0.0010000000474974513,3
4.2986345291137695,3.3927009105682373,0.2594424784183502,1.2788403034210205,4.174670696258545,3.2881031036376953,0.2500566840171814,1.2194433212280273,0.0010000000474974513,4
4.26276159286499,3.365780830383301,0.25958704948425293,1.2727928161621094,4.390161037445068,3.4466474056243896,0.2532570958137512,1.2451186180114746,0.0010000000474974513,5
4.2448248863220215,3.351583242416382,0.2597903311252594,1.267362356185913,4.213416576385498,3.3186585903167725,0.24976670742034912,1.2308918237686157,0.0010000000474974513,6
4.211564540863037,3.327253818511963,0.25987672805786133,1.2638505697250366,4.289863109588623,3.374359369277954,0.2512085437774658,1.2381930351257324,0.0010000000474974513,7
4.174648284912109,3.3000881671905518,0.259930819272995,1.2594243288040161,4.299696445465088,3.373971700668335,0.2503766715526581,1.2139441967010498,0.0010000000474974513,8
4.1786088943481445,3.3020739555358887,0.26007089018821716,1.25684654712677,4.2085652351379395,3.30818772315979,0.2500820457935333,1.2073085308074951,0.0010000000474974513,9
4.166698932647705,3.293661117553711,0.2601020038127899,1.2565678358078003,4.081264495849609,3.220090866088867,0.2519369423389435,1.2106821537017822,0.0010000000474974513,10
4.141241073608398,3.274677038192749,0.26022806763648987,1.252686858177185,4.479946136474609,3.501938819885254,0.24941611289978027,1.2199259996414185,0.0010000000474974513,11
4.1293044090271,3.2654993534088135,0.2601192891597748,1.2499293088912964,4.09596586227417,3.2298269271850586,0.2505435645580292,1.2088329792022705,0.0010000000474974513,12
4.122653007507324,3.2608115673065186,0.2602096498012543,1.249864935874939,4.254110813140869,3.342393636703491,0.25085508823394775,1.2150604724884033,0.0010000000474974513,13
4.100505352020264,3.245035409927368,0.26033878326416016,1.2489498853683472,4.1871562004089355,3.2928152084350586,0.25140485167503357,1.2060145139694214,0.0010000000474974513,14
4.084691524505615,3.2326226234436035,0.2603254020214081,1.2444804906845093,4.046117305755615,3.1917529106140137,0.24992136657238007,1.198244333267212,0.0010000000474974513,15
4.078231334686279,3.22835636138916,0.26034829020500183,1.2453174591064453,4.306572437286377,3.3790454864501953,0.2511218786239624,1.2148302793502808,0.0010000000474974513,16
4.063597202301025,3.2171568870544434,0.26046839356422424,1.2421293258666992,4.005009651184082,3.1643247604370117,0.2511630952358246,1.2027250528335571,0.0010000000474974513,17
4.051059246063232,3.2087666988372803,0.2605673670768738,1.2434366941452026,4.216841697692871,3.311189889907837,0.25088000297546387,1.1979970932006836,0.0010000000474974513,18
4.050321102142334,3.2078473567962646,0.26059386134147644,1.2420579195022583,4.034186363220215,3.1844303607940674,0.24935799837112427,1.2016594409942627,0.0010000000474974513,19
