detune_head_loss,detune_head_mae,detune_head_mse,env_head_loss,env_head_mae,env_head_mse,freq_head_loss,freq_head_mae,freq_head_mse,index_head_loss,index_head_mae,index_head_mse,loss,other_head_loss,other_head_mae,other_head_mse,phase_head_loss,phase_head_mae,phase_head_mse,ratio_head_loss,ratio_head_mae,ratio_head_mse,val_detune_head_loss,val_detune_head_mae,val_detune_head_mse,val_env_head_loss,val_env_head_mae,val_env_head_mse,val_freq_head_loss,val_freq_head_mae,val_freq_head_mse,val_index_head_loss,val_index_head_mae,val_index_head_mse,val_loss,val_other_head_loss,val_other_head_mae,val_other_head_mse,val_phase_head_loss,val_phase_head_mae,val_phase_head_mse,val_ratio_head_loss,val_ratio_head_mae,val_ratio_head_mse,learning_rate,epoch,num_group_mse_mean,val_num_group_mse_mean
0.39353469014167786,0.8412265777587891,1.0187441110610962,0.41026467084884644,0.8676384091377258,1.014126181602478,0.1671486496925354,0.5333189964294434,0.46802714467048645,0.3381515145301819,0.7389481663703918,0.9973379969596863,3.3025295734405518,0.3545835018157959,0.771013617515564,1.0136678218841553,0.4137606620788574,0.873090386390686,1.0240018367767334,0.4024816155433655,0.8432156443595886,1.0098313093185425,0.39651939272880554,0.8436899185180664,1.0209650993347168,0.4039931297302246,0.8581319451332092,0.9917611479759216,0.12069150805473328,0.430074006319046,0.2960382103919983,0.32427552342414856,0.7163277864456177,0.9469083547592163,3.1710567474365234,0.34741127490997314,0.7534407377243042,1.0101255178451538,0.4089324176311493,0.8662541508674622,1.006623387336731,0.40360209345817566,0.8449742794036865,1.0063563585281372,0.0010000000474974513,0,1.0129515429337819,0.9971233109633127
0.38965317606925964,0.8353062868118286,1.0051921606063843,0.403627872467041,0.8577709197998047,0.9932034611701965,0.11879800260066986,0.42669689655303955,0.29495754837989807,0.3244709372520447,0.7177850008010864,0.9554557204246521,3.1338467597961426,0.3362158238887787,0.7346572279930115,0.9634655117988586,0.4113689959049225,0.8696938753128052,1.0135539770126343,0.39498239755630493,0.8335813879966736,0.9844749569892883,0.39662882685661316,0.8440272808074951,1.0221893787384033,0.4009428918361664,0.8531748056411743,0.9847311973571777,0.10513295978307724,0.3917464315891266,0.2518109679222107,0.320504367351532,0.7108635902404785,0.9295865893363953,3.1144134998321533,0.33729442954063416,0.7343668341636658,0.9799094796180725,0.4083985388278961,0.8652848601341248,1.0042370557785034,0.4003336727619171,0.8418509364128113,1.0007238388061523,0.0010000000474974513,1,0.9858909646670023,0.9868962566057841
0.3885843753814697,0.8338295221328735,1.000806450843811,0.4012482464313507,0.8539279103279114,0.9864238500595093,0.10939867049455643,0.403118371963501,0.26845642924308777,0.3211260139942169,0.7131813764572144,0.9436473250389099,3.092332363128662,0.3340612053871155,0.7290425896644592,0.9598667025566101,0.40969446301460266,0.8671680688858032,1.0079331398010254,0.39086490869522095,0.8284945487976074,0.9742307066917419,0.39572978019714355,0.84279865026474,1.019307017326355,0.40026018023490906,0.8518087267875671,0.9834367036819458,0.10824837535619736,0.3958005905151367,0.2678132653236389,0.3197825849056244,0.70943284034729,0.9301294088363647,3.1118199825286865,0.3324989676475525,0.7287763953208923,0.9624488949775696,0.4101956784725189,0.8671894669532776,1.013085961341858,0.39983436465263367,0.8426698446273804,0.9998670816421509,0.0010000000474974513,2,0.9788180291652679,0.9847125113010406
0.3874177634716034,0.8325679302215576,0.9987240433692932,0.3998595178127289,0.8516992926597595,0.9827026128768921,0.10142900794744492,0.38236701488494873,0.24850262701511383,0.3192518949508667,0.7102113962173462,0.9376755356788635,3.0598084926605225,0.32990917563438416,0.7229440808296204,0.9467656016349792,0.40987417101860046,0.8674358129501343,1.0092449188232422,0.38788920640945435,0.824163556098938,0.9679005742073059,0.39607271552085876,0.8427487015724182,1.0206992626190186,0.3994385302066803,0.8502887487411499,0.9812996983528137,0.10176241397857666,0.3795793950557709,0.2496831715106964,0.3155648410320282,0.7021340131759644,0.9227361083030701,3.085630178451538,0.3290727436542511,0.7147022485733032,0.9592269659042358,0.4095172882080078,0.8667947053909302,1.0073840618133545,0.3990626335144043,0.842522144317627,0.9989538788795471,0.0010000000474974513,3,0.9738355477650961,0.98171666264534
0.3866930902004242,0.8311014771461487,0.9966669082641602,0.39924630522727966,0.8507394194602966,0.9812760949134827,0.09830036759376526,0.37348267436027527,0.23741792142391205,0.31691911816596985,0.7060996890068054,0.9315579533576965,3.0358002185821533,0.3286014199256897,0.7193385362625122,0.9448944330215454,0.4085325598716736,0.8651236891746521,1.0055561065673828,0.38397136330604553,0.8197543025016785,0.9571726322174072,0.3974313735961914,0.8449299931526184,1.0276793241500854,0.39921465516090393,0.8499961495399475,0.9811768531799316,0.1048600971698761,0.38326892256736755,0.25779759883880615,0.31583455204963684,0.7022061944007874,0.9261361360549927,3.097014904022217,0.32814350724220276,0.7167255282402039,0.9501741528511047,0.4102180004119873,0.8678086996078491,1.0113919973373413,0.40077993273735046,0.843006432056427,1.0070202350616455,0.0010000000474974513,4,0.9695206880569458,0.9839297831058502
0.38522931933403015,0.8289684057235718,0.9925508499145508,0.39880380034446716,0.8501076102256775,0.9804927706718445,0.09599531441926956,0.36691728234291077,0.23297353088855743,0.3167324364185333,0.7059489488601685,0.9304807782173157,3.0215060710906982,0.326900452375412,0.7173757553100586,0.9396941065788269,0.40838053822517395,0.8647757768630981,1.0047940015792847,0.3816705644130707,0.8153198957443237,0.9535090327262878,0.39701202511787415,0.8445894122123718,1.0273264646530151,0.39902758598327637,0.8496434688568115,0.9804224371910095,0.09791231900453568,0.369441419839859,0.23906144499778748,0.31615138053894043,0.7019482254981995,0.9297240972518921,3.086444616317749,0.32756879925727844,0.7176001667976379,0.9526707530021667,0.4090891182422638,0.865877628326416,1.0083409547805786,0.40189626812934875,0.844567060470581,1.0141618251800537,0.0010000000474974513,5,0.9669202566146851,0.9854410886764526
0.3845880925655365,0.8275294303894043,0.9923142790794373,0.3981081247329712,0.8488906025886536,0.9783875346183777,0.09268137067556381,0.3603705167770386,0.2228831946849823,0.31513845920562744,0.7027343511581421,0.9242480993270874,3.0035810470581055,0.32610705494880676,0.7158289551734924,0.9377383589744568,0.4076344072818756,0.8639553785324097,1.0033373832702637,0.3796301782131195,0.812504231929779,0.9495787620544434,0.3987550437450409,0.8470550179481506,1.031343698501587,0.3995467722415924,0.8505645394325256,0.982137143611908,0.10443004965782166,0.38382938504219055,0.2552516758441925,0.3160196542739868,0.7024921178817749,0.922437846660614,3.0960159301757812,0.32688313722610474,0.7222998142242432,0.9407014846801758,0.4105580151081085,0.8684496879577637,1.011997103691101,0.4001310169696808,0.8430763483047485,1.0012900829315186,0.0010000000474974513,6,0.9642674028873444,0.981651226679484
0.38363683223724365,0.8262952566146851,0.9907141327857971,0.3982394337654114,0.8491365313529968,0.9794676303863525,0.09123661369085312,0.3561970591545105,0.21949054300785065,0.3132096827030182,0.6998898386955261,0.9183802604675293,2.9859437942504883,0.32360583543777466,0.7126197218894958,0.9309804439544678,0.40827062726020813,0.8649723529815674,1.004988193511963,0.3758666217327118,0.8065915703773499,0.9392637610435486,0.3989820182323456,0.8469932675361633,1.0339735746383667,0.3992374837398529,0.8497966527938843,0.9809334874153137,0.09779652953147888,0.36840197443962097,0.24097949266433716,0.3163450062274933,0.7019242644309998,0.9287005066871643,3.0802297592163086,0.3265785574913025,0.7106728553771973,0.9545479416847229,0.409850150346756,0.8671623468399048,1.0111873149871826,0.39820483326911926,0.8395197987556458,1.001898169517517,0.0010000000474974513,7,0.9606324036916097,0.9852068324883779
0.38263070583343506,0.8245279788970947,0.9884876012802124,0.3971487283706665,0.8476144075393677,0.9761047959327698,0.08800837397575378,0.34995609521865845,0.20911742746829987,0.312161386013031,0.6984116435050964,0.9156762957572937,2.9630680084228516,0.32294490933418274,0.7091294527053833,0.9283360242843628,0.4071770906448364,0.8632305264472961,1.0019809007644653,0.37156590819358826,0.8004793524742126,0.929715633392334,0.3992239236831665,0.847495436668396,1.035691738128662,0.39924922585487366,0.8497585654258728,0.982138454914093,0.09961945563554764,0.3722665309906006,0.24825438857078552,0.31654825806617737,0.7041060328483582,0.9237818717956543,3.0961897373199463,0.3270089626312256,0.7170603275299072,0.9485743045806885,0.4101143181324005,0.8677650690078735,1.0125041007995605,0.4032278060913086,0.8457625508308411,1.02342689037323,0.0010000000474974513,8,0.9567168752352396,0.9876862267653147
0.3810046911239624,0.8219967484474182,0.9841628670692444,0.3971687853336334,0.8474158644676208,0.9768733978271484,0.08520665019750595,0.34078484773635864,0.2029891163110733,0.3108367621898651,0.6955466866493225,0.9083693027496338,2.9448626041412354,0.32195302844047546,0.7083433270454407,0.9265400171279907,0.4067171514034271,0.8619968295097351,1.0019943714141846,0.36872753500938416,0.7959263324737549,0.9242002964019775,0.4005211889743805,0.8495708107948303,1.0410841703414917,0.3992532789707184,0.8500092029571533,0.981725811958313,0.09869121760129929,0.3706100285053253,0.24264226853847504,0.3164871037006378,0.7034867405891418,0.9200746417045593,3.0918502807617188,0.32750821113586426,0.7203347086906433,0.9485288262367249,0.4091393053531647,0.8662978410720825,1.0098801851272583,0.401582807302475,0.8442915678024292,1.0185492038726807,0.0010000000474974513,9,0.9536900420983633,0.986640473206838
