epoch,env_car_attack_head_loss,env_car_attack_head_mae,env_car_decay_head_loss,env_car_decay_head_mae,env_car_release_head_loss,env_car_release_head_mae,env_car_sustain_head_loss,env_car_sustain_head_mae,loss,val_env_car_attack_head_loss,val_env_car_attack_head_mae,val_env_car_decay_head_loss,val_env_car_decay_head_mae,val_env_car_release_head_loss,val_env_car_release_head_mae,val_env_car_sustain_head_loss,val_env_car_sustain_head_mae,val_loss,learning_rate
0,0.4491899907588959,0.8271002769470215,0.48985522985458374,0.8764570355415344,0.4459488093852997,0.8252381682395935,0.47513243556022644,0.8607896566390991,1.4405884742736816,0.2870819568634033,0.6204803586006165,0.45921096205711365,0.8448687195777893,0.26336660981178284,0.5936656594276428,0.2705060541629791,0.6121706366539001,0.9970822334289551,0.00019999999494757503
1,0.26326167583465576,0.6061339378356934,0.42461106181144714,0.8051158785820007,0.236485093832016,0.5648261904716492,0.3109700381755829,0.6646355390548706,0.9571651816368103,0.21416155993938446,0.5342409610748291,0.44189682602882385,0.8254629969596863,0.11670556664466858,0.37723174691200256,0.2663104832172394,0.6187039613723755,0.8046285510063171,0.00019999999494757503
2,0.21623830497264862,0.5440623760223389,0.4067263603210449,0.7835497856140137,0.16218364238739014,0.453984797000885,0.28053954243659973,0.6276080012321472,0.8244963884353638,0.1476917713880539,0.45648810267448425,0.425594300031662,0.8069941997528076,0.08875367045402527,0.3346874713897705,0.21108649671077728,0.5374372601509094,0.6773923635482788,0.00019999999494757503
3,0.1917877197265625,0.511673092842102,0.3923499584197998,0.7692581415176392,0.1243533343076706,0.38999229669570923,0.2500772476196289,0.5847396850585938,0.7418470978736877,0.14029134809970856,0.4410307705402374,0.41787952184677124,0.7994903326034546,0.07255998998880386,0.28982362151145935,0.20693199336528778,0.5308405160903931,0.6494372487068176,0.00019999999494757503
4,0.17895390093326569,0.4995189607143402,0.37960201501846313,0.7538163661956787,0.09661165624856949,0.3445907235145569,0.24287986755371094,0.5766761302947998,0.6941497325897217,0.14212869107723236,0.43726253509521484,0.40067920088768005,0.7756363153457642,0.0630364865064621,0.2638288140296936,0.21888326108455658,0.5439486503601074,0.6378940939903259,0.00019999999494757503
5,0.16850274801254272,0.4783207178115845,0.366879403591156,0.7422576546669006,0.08655089139938354,0.3221253752708435,0.23213502764701843,0.5614420771598816,0.6600407361984253,0.12960723042488098,0.4214934706687927,0.3920522630214691,0.7713045477867126,0.04400968179106712,0.2227340042591095,0.19575145840644836,0.5085701942443848,0.589561402797699,0.00019999999494757503
6,0.16384077072143555,0.4724337160587311,0.3509126305580139,0.7223977446556091,0.07522208988666534,0.29962843656539917,0.23382160067558289,0.5648522973060608,0.6356553435325623,0.13132379949092865,0.41769734025001526,0.3639337420463562,0.7286591529846191,0.037237994372844696,0.196427583694458,0.20500174164772034,0.5223753452301025,0.5694977045059204,0.00019999999494757503
7,0.15849439799785614,0.4636397957801819,0.33058202266693115,0.6955719590187073,0.0660538524389267,0.2807885408401489,0.2285209596157074,0.5550045967102051,0.6040698289871216,0.12221888452768326,0.4044521749019623,0.35386744141578674,0.7217524647712708,0.04155297949910164,0.22197438776493073,0.19538964331150055,0.506787896156311,0.5508841872215271,0.00019999999494757503
8,0.15198664367198944,0.45162275433540344,0.3126855492591858,0.677255392074585,0.06235366687178612,0.2716907560825348,0.2217935174703598,0.5491185188293457,0.5768763422966003,0.1260957270860672,0.3979744017124176,0.32491418719291687,0.6868301630020142,0.04789765924215317,0.23328040540218353,0.18855662643909454,0.49989384412765503,0.5311158299446106,0.00019999999494757503
9,0.15095369517803192,0.45051518082618713,0.308502733707428,0.6669476628303528,0.059336304664611816,0.2656964361667633,0.22230830788612366,0.5456260442733765,0.5706496834754944,0.1383303701877594,0.43360817432403564,0.31203487515449524,0.6612659096717834,0.03851441293954849,0.20971666276454926,0.19839666783809662,0.5199511647224426,0.5299814939498901,0.00019999999494757503
