epoch,detune_carrier_head_loss,detune_carrier_head_mae,freq_log2_head_loss,freq_log2_head_mae,loss,ratio_log2_head_loss,ratio_log2_head_mae,val_detune_carrier_head_loss,val_detune_carrier_head_mae,val_freq_log2_head_loss,val_freq_log2_head_mae,val_loss,val_ratio_log2_head_loss,val_ratio_log2_head_mae,learning_rate
0,0.5196889042854309,0.9219745993614197,0.2490965574979782,0.5728498101234436,0.9038814902305603,0.4780244827270508,0.8774700164794922,0.4753802716732025,0.8879705667495728,0.08695622533559799,0.3256928026676178,0.6289411187171936,0.3453754782676697,0.716988742351532,0.00019999999494757503
1,0.4923129081726074,0.8930404782295227,0.14953093230724335,0.43738695979118347,0.7084074020385742,0.3653342127799988,0.7364163398742676,0.47701597213745117,0.8928332924842834,0.06250085681676865,0.2748173773288727,0.547677218914032,0.2731679379940033,0.6060911417007446,0.00019999999494757503
2,0.4826105535030365,0.8846979141235352,0.1214015781879425,0.3904847800731659,0.6345817446708679,0.3128872811794281,0.6631289720535278,0.4776182472705841,0.8963578939437866,0.07866153120994568,0.2998654544353485,0.5132661461830139,0.2161339819431305,0.5308417081832886,0.00019999999494757503
3,0.48547884821891785,0.8907831907272339,0.10939072072505951,0.3675702214241028,0.5834344625473022,0.26286932826042175,0.5959502458572388,0.4723217785358429,0.8867371082305908,0.060480471700429916,0.267413854598999,0.47736966609954834,0.1955111026763916,0.5048180222511292,0.00019999999494757503
4,0.47300997376441956,0.8739224076271057,0.10374739021062851,0.35719573497772217,0.5432983040809631,0.22936202585697174,0.5505780577659607,0.4758144021034241,0.8880984783172607,0.06385017931461334,0.27405619621276855,0.5318120718002319,0.2539311945438385,0.5834576487541199,0.00019999999494757503
5,0.4759480655193329,0.8781721591949463,0.09518112242221832,0.3424934446811676,0.5163151621818542,0.2042822539806366,0.5167619585990906,0.46914124488830566,0.8819710612297058,0.05963704735040665,0.2624208331108093,0.46256956458091736,0.18100041151046753,0.4798596203327179,0.00019999999494757503
6,0.4727502167224884,0.8765682578086853,0.09126494079828262,0.334676593542099,0.5071964859962463,0.19953979551792145,0.508561909198761,0.4641130566596985,0.8738203048706055,0.05131781846284866,0.24461300671100616,0.4413074254989624,0.1675589680671692,0.4642152786254883,0.00019999999494757503
7,0.4719536304473877,0.8733336329460144,0.08704873919487,0.3222635090351105,0.487196683883667,0.1807420700788498,0.48206624388694763,0.4679329991340637,0.8811770677566528,0.05341971293091774,0.25042346119880676,0.42565181851387024,0.1445668786764145,0.4210059642791748,0.00019999999494757503
8,0.46938344836235046,0.8709068894386292,0.08222328126430511,0.31824880838394165,0.47741782665252686,0.1757262945175171,0.4742009937763214,0.4742896258831024,0.8868624567985535,0.05560507997870445,0.25656136870384216,0.43240758776664734,0.1462165266275406,0.41615286469459534,0.00019999999494757503
9,0.472494512796402,0.8751628398895264,0.07604199647903442,0.3054983913898468,0.4596734344959259,0.15901866555213928,0.4486851692199707,0.4713529646396637,0.883022129535675,0.04179837182164192,0.22052547335624695,0.4247185289859772,0.1528773009777069,0.4189815819263458,0.00019999999494757503
10,0.4695468842983246,0.8714755773544312,0.07690177857875824,0.30307188630104065,0.45868590474128723,0.15890422463417053,0.4425085783004761,0.47109556198120117,0.8837687969207764,0.05032524839043617,0.24763260781764984,0.404862642288208,0.12115710973739624,0.3769901990890503,0.00019999999494757503
11,0.46822768449783325,0.8703488707542419,0.0753311887383461,0.3018772006034851,0.44636887311935425,0.14683781564235687,0.4218185544013977,0.4687868058681488,0.880842387676239,0.04081353172659874,0.2145596146583557,0.3916431665420532,0.11661051213741302,0.3644523322582245,0.00019999999494757503
12,0.4685273766517639,0.8702003955841064,0.07242052257061005,0.296200692653656,0.4345857799053192,0.1356920748949051,0.40965336561203003,0.47192615270614624,0.8817099332809448,0.04890279099345207,0.23872725665569305,0.4273723363876343,0.14852426946163177,0.42013314366340637,0.00019999999494757503
13,0.4664607346057892,0.8680894374847412,0.06820660829544067,0.28398194909095764,0.4264138638973236,0.13162900507450104,0.39727264642715454,0.4758664071559906,0.8883225321769714,0.04285884648561478,0.22218434512615204,0.39782488346099854,0.11725699156522751,0.35953620076179504,0.00019999999494757503
14,0.4623884856700897,0.8608845472335815,0.0605250708758831,0.2683712840080261,0.4017646312713623,0.11294679343700409,0.36749789118766785,0.47375139594078064,0.8875604867935181,0.0432424433529377,0.22237783670425415,0.38079407811164856,0.09820556640625,0.32441890239715576,9.999999747378752e-05
15,0.4673400819301605,0.8690552711486816,0.0626259595155716,0.2720213830471039,0.4083288013935089,0.11536409705877304,0.372027724981308,0.4725080728530884,0.886584460735321,0.04070514813065529,0.21509839594364166,0.38308003544807434,0.10423664003610611,0.33361580967903137,9.999999747378752e-05
16,0.46488699316978455,0.8678728938102722,0.05685972794890404,0.25780466198921204,0.3906583786010742,0.10192913562059402,0.3490259349346161,0.4697743058204651,0.8836575746536255,0.03871732950210571,0.20943579077720642,0.3692281246185303,0.09169703722000122,0.31443727016448975,9.999999747378752e-05
17,0.46174851059913635,0.8640761375427246,0.057320114225149155,0.25940296053886414,0.3880704343318939,0.10045456886291504,0.3426690697669983,0.46957606077194214,0.8824634552001953,0.03908960521221161,0.21210116147994995,0.36952993273735046,0.09180810302495956,0.32141944766044617,9.999999747378752e-05
18,0.46161049604415894,0.8616256713867188,0.05726218596100807,0.2598162591457367,0.38604119420051575,0.09821487218141556,0.3403058648109436,0.4740961492061615,0.8871089220046997,0.04254535958170891,0.21699616312980652,0.36963915824890137,0.08555620163679123,0.29947227239608765,9.999999747378752e-05
19,0.4621668756008148,0.8626495003700256,0.05260640010237694,0.24766671657562256,0.37382712960243225,0.08814119547605515,0.3215629458427429,0.4718184173107147,0.8854968547821045,0.037913672626018524,0.2058771401643753,0.3546633720397949,0.07404308021068573,0.2802707850933075,4.999999873689376e-05
20,0.4627265930175781,0.8637294769287109,0.05163159221410751,0.2461518943309784,0.3692072331905365,0.0833183079957962,0.31386736035346985,0.47234678268432617,0.884590208530426,0.03860507532954216,0.20882868766784668,0.35997605323791504,0.07926009595394135,0.29466181993484497,4.999999873689376e-05
21,0.45999425649642944,0.8596697449684143,0.05070822313427925,0.24367570877075195,0.3632547855377197,0.07900691032409668,0.3024584650993347,0.47421810030937195,0.887271523475647,0.03559940680861473,0.19663943350315094,0.35766851902008057,0.0783400610089302,0.2826322317123413,4.999999873689376e-05
22,0.46280327439308167,0.8636631369590759,0.049884893000125885,0.24046027660369873,0.3624666929244995,0.07708568871021271,0.3005692958831787,0.4726414084434509,0.8864638805389404,0.03652546927332878,0.1998148262500763,0.3526904582977295,0.07257770001888275,0.2787598967552185,2.499999936844688e-05
23,0.4653637707233429,0.864671528339386,0.04979240894317627,0.2410450428724289,0.3658324182033539,0.07948097586631775,0.3046446442604065,0.4734184443950653,0.8859975337982178,0.03492670878767967,0.19885605573654175,0.3576281666755676,0.07948272675275803,0.28413820266723633,2.499999936844688e-05
24,0.46148282289505005,0.8618379831314087,0.04926277697086334,0.23627735674381256,0.35749179124832153,0.07270903140306473,0.29145538806915283,0.4722098410129547,0.8854795694351196,0.032372456043958664,0.18906131386756897,0.35422658920288086,0.078817218542099,0.282181054353714,2.499999936844688e-05
