file_name,pitch,pitch_hz,fft_distance,stft_distance,log_mel_spectrogram_distance_raw,log_mel_spectrogram_distance_normalized,frames
bass_electronic_018-022-100.wav,22,29.13523509488062,24447.212890625,5343.3388671875,839.324951171875,0.18889066052817463,126
bass_electronic_018-023-025.wav,23,30.86770632850775,24482.041015625,5347.02099609375,1015.9171752929688,0.2703003608901081,126
bass_electronic_018-023-075.wav,23,30.86770632850775,24933.263671875,4681.8994140625,670.9100341796875,0.1570608670067231,126
bass_electronic_018-023-127.wav,23,30.86770632850775,24941.27734375,4713.142578125,709.2171020507812,0.16586268598188236,126
bass_electronic_018-024-025.wav,24,32.70319566257483,25085.814453125,4598.5283203125,734.4999389648438,0.17760143018033042,126
bass_electronic_018-024-100.wav,24,32.70319566257483,25194.3984375,4736.73486328125,728.6588745117188,0.17012764760403165,126
bass_electronic_018-026-025.wav,26,36.70809598967594,24723.4609375,4567.9658203125,714.025390625,0.1737312203648664,126
bass_electronic_018-026-075.wav,26,36.70809598967594,25641.416015625,4646.75732421875,708.556884765625,0.16696745461026513,126
bass_electronic_018-026-127.wav,26,36.70809598967594,25523.3359375,4689.453125,725.8316650390625,0.170746962628953,126
bass_electronic_018-027-075.wav,27,38.890872965260115,25273.482421875,4753.6357421875,733.2628173828125,0.17208998395439665,126
bass_electronic_018-029-025.wav,29,43.653528929125486,22757.7734375,4578.84326171875,679.4551391601562,0.16518922415118367,126
bass_electronic_018-029-075.wav,29,43.653528929125486,22910.453125,4645.3056640625,717.4974365234375,0.1717197701061578,126
bass_electronic_018-030-050.wav,30,46.2493028389543,23135.0234375,4605.99072265625,680.9415283203125,0.16523287216127644,126
bass_electronic_018-031-025.wav,31,48.999429497718666,28248.208984375,4657.4287109375,732.3021850585938,0.17760323335715975,126
bass_electronic_018-032-025.wav,32,51.91308719749314,27873.880859375,4549.015625,746.00244140625,0.1855508063066091,126
bass_electronic_018-032-127.wav,32,51.91308719749314,27377.60546875,4685.00048828125,766.2860717773438,0.18228222273302908,126
bass_electronic_018-033-075.wav,33,55.0,25528.560546875,4481.8642578125,770.9402465820312,0.18976913135210746,126
bass_electronic_018-035-075.wav,35,61.7354126570155,24343.150390625,4608.70458984375,762.0863647460938,0.19055728578552708,126
bass_electronic_018-035-100.wav,35,61.7354126570155,24044.38671875,4721.67431640625,784.7445678710938,0.19339241013094408,126
bass_electronic_018-035-127.wav,35,61.7354126570155,24081.521484375,4705.97607421875,786.1751708984375,0.1951597830085593,126
bass_electronic_018-037-025.wav,37,69.29565774421802,24563.08984375,4779.2060546875,793.8613891601562,0.20154041312466778,126
