epoch,env_car_attack_head_loss,env_car_attack_head_mae,env_car_decay_head_loss,env_car_decay_head_mae,env_car_release_head_loss,env_car_release_head_mae,env_car_sustain_head_loss,env_car_sustain_head_mae,env_mod_attack_head_loss,env_mod_attack_head_mae,env_mod_decay_head_loss,env_mod_decay_head_mae,env_mod_release_head_loss,env_mod_release_head_mae,env_mod_sustain_head_loss,env_mod_sustain_head_mae,feedback_head_loss,feedback_head_mae,index_12_head_loss,index_12_head_mae,index_23_head_loss,index_23_head_mae,index_3c_head_loss,index_3c_head_mae,index_4c_head_loss,index_4c_head_mae,index_5c_head_loss,index_5c_head_mae,key_scaling_head_loss,key_scaling_head_mae,lfo_depth_cents_head_loss,lfo_depth_cents_head_mae,lfo_rate_head_loss,lfo_rate_head_mae,loss,val_env_car_attack_head_loss,val_env_car_attack_head_mae,val_env_car_decay_head_loss,val_env_car_decay_head_mae,val_env_car_release_head_loss,val_env_car_release_head_mae,val_env_car_sustain_head_loss,val_env_car_sustain_head_mae,val_env_mod_attack_head_loss,val_env_mod_attack_head_mae,val_env_mod_decay_head_loss,val_env_mod_decay_head_mae,val_env_mod_release_head_loss,val_env_mod_release_head_mae,val_env_mod_sustain_head_loss,val_env_mod_sustain_head_mae,val_feedback_head_loss,val_feedback_head_mae,val_index_12_head_loss,val_index_12_head_mae,val_index_23_head_loss,val_index_23_head_mae,val_index_3c_head_loss,val_index_3c_head_mae,val_index_4c_head_loss,val_index_4c_head_mae,val_index_5c_head_loss,val_index_5c_head_mae,val_key_scaling_head_loss,val_key_scaling_head_mae,val_lfo_depth_cents_head_loss,val_lfo_depth_cents_head_mae,val_lfo_rate_head_loss,val_lfo_rate_head_mae,val_loss,learning_rate
0,0.2802198529243469,0.6291727423667908,0.4550778567790985,0.8527220487594604,0.18304988741874695,0.4716637134552002,0.4336870312690735,0.8260113596916199,0.31056010723114014,0.6658263206481934,0.42307716608047485,0.8093711137771606,0.20796750485897064,0.5070749521255493,0.38201794028282166,0.7575605511665344,0.4779024124145508,0.8815926909446716,0.458954781293869,0.8573412895202637,0.4526135325431824,0.8493255972862244,0.45950308442115784,0.8567536473274231,0.45896583795547485,0.8585852980613708,0.45295125246047974,0.8506507873535156,0.47119438648223877,0.8735790252685547,0.4761746823787689,0.8801594972610474,0.4760950207710266,0.8802266120910645,3.958442211151123,0.17755235731601715,0.4800677001476288,0.4029325842857361,0.7911835312843323,0.03687423840165138,0.2079140841960907,0.374501496553421,0.757529616355896,0.17165564000606537,0.48130595684051514,0.2775343060493469,0.6067261695861816,0.04737717658281326,0.23375709354877472,0.23990395665168762,0.5762009024620056,0.45666271448135376,0.8592087626457214,0.45035821199417114,0.8547783493995667,0.4418046772480011,0.8377460837364197,0.43208983540534973,0.8267213702201843,0.43302759528160095,0.8304456472396851,0.4434942901134491,0.8411573171615601,0.4541144073009491,0.858167827129364,0.45963361859321594,0.8639390468597412,0.46497446298599243,0.8680034875869751,3.323753833770752,0.00019999999494757503
1,0.2000877857208252,0.5158659219741821,0.38028010725975037,0.7551298141479492,0.05899842828512192,0.26901566982269287,0.33252260088920593,0.6972803473472595,0.1966688185930252,0.5077264904975891,0.2349225878715515,0.5478609800338745,0.0678645521402359,0.2857818603515625,0.2533409595489502,0.5887044668197632,0.46799787878990173,0.8721554279327393,0.4436621069908142,0.8411970138549805,0.4389271140098572,0.835106372833252,0.4392639994621277,0.8357403874397278,0.44335582852363586,0.8415263891220093,0.4407946765422821,0.8379852175712585,0.45352086424827576,0.8532760143280029,0.46643736958503723,0.8704718351364136,0.46663740277290344,0.8703557252883911,3.3374147415161133,0.1667347401380539,0.4615117311477661,0.28363630175590515,0.6173354983329773,0.02113606594502926,0.15932485461235046,0.21621164679527283,0.5444850921630859,0.15056045353412628,0.4357663094997406,0.1478601098060608,0.40580591559410095,0.03134249523282051,0.1920224130153656,0.2251581847667694,0.5489751100540161,0.457537442445755,0.8602452278137207,0.44395995140075684,0.8450375199317932,0.435401976108551,0.8246450424194336,0.4207218885421753,0.811172366142273,0.42939525842666626,0.8227980136871338,0.4380825161933899,0.8356580138206482,0.425871878862381,0.8241459727287292,0.4597170352935791,0.8636181354522705,0.46382543444633484,0.8676509857177734,3.013838529586792,0.00019999999494757503
2,0.18774493038654327,0.4983102083206177,0.2684294581413269,0.5989603996276855,0.048959165811538696,0.24457837641239166,0.22199960052967072,0.5434993505477905,0.17760281264781952,0.47824186086654663,0.15229415893554688,0.42294347286224365,0.0544377900660038,0.25499317049980164,0.20212596654891968,0.5135573744773865,0.46649375557899475,0.8702104687690735,0.43806397914886475,0.8334908485412598,0.42893528938293457,0.8217192888259888,0.42224010825157166,0.8127747178077698,0.438167929649353,0.8355566263198853,0.4360475242137909,0.8319372534751892,0.4339652955532074,0.8296958804130554,0.4657283425331116,0.8697364330291748,0.465656042098999,0.8689720630645752,3.0679080486297607,0.17312873899936676,0.4709893465042114,0.20152045786380768,0.49228113889694214,0.02300501987338066,0.16455669701099396,0.1462613344192505,0.4292406439781189,0.14112739264965057,0.4121054708957672,0.111656054854393,0.3363136947154999,0.02246994525194168,0.15620248019695282,0.1389824002981186,0.4136558473110199,0.4570845365524292,0.8600192070007324,0.4381084740161896,0.8354933857917786,0.4236178696155548,0.8070104718208313,0.3981397747993469,0.7778224945068359,0.42376163601875305,0.8174622654914856,0.4371894598007202,0.8317616581916809,0.41641345620155334,0.8084621429443359,0.4592941403388977,0.8629422187805176,0.46454694867134094,0.8682817220687866,2.8235671520233154,0.00019999999494757503
3,0.17651158571243286,0.48054444789886475,0.22172020375728607,0.5277663469314575,0.0429033599793911,0.22884930670261383,0.18527695536613464,0.487190306186676,0.16738802194595337,0.4618924558162689,0.12272743135690689,0.3735281825065613,0.04702550917863846,0.23802334070205688,0.17292313277721405,0.46955788135528564,0.4650605320930481,0.8685532808303833,0.4353811740875244,0.8302868008613586,0.4183971881866455,0.8071427345275879,0.40890786051750183,0.7941805124282837,0.43235379457473755,0.8269754648208618,0.4330665171146393,0.8271805047988892,0.4195135533809662,0.8107320666313171,0.46466243267059326,0.8687441349029541,0.46450215578079224,0.8680442571640015,2.93615460395813,0.1485489159822464,0.426362544298172,0.1737896054983139,0.4410330355167389,0.014291784726083279,0.125109001994133,0.13822828233242035,0.40940508246421814,0.1414400041103363,0.4180678725242615,0.10459572821855545,0.3217116594314575,0.020439988002181053,0.14857715368270874,0.13034270703792572,0.4000360071659088,0.45765629410743713,0.8603399395942688,0.43752819299697876,0.8331232070922852,0.43201401829719543,0.808420717716217,0.3973662257194519,0.7733296155929565,0.4237595498561859,0.8179358839988708,0.434711217880249,0.8289899826049805,0.39986681938171387,0.7872829437255859,0.4591219425201416,0.8628807663917542,0.46344852447509766,0.8671901822090149,2.7676918506622314,0.00019999999494757503
4,0.1690008044242859,0.46710067987442017,0.20015792548656464,0.49188917875289917,0.038589026778936386,0.2174231857061386,0.16837531328201294,0.4604627192020416,0.15986327826976776,0.4493515193462372,0.10608852654695511,0.3436730206012726,0.04233603551983833,0.22488056123256683,0.16020801663398743,0.4492485225200653,0.4649272859096527,0.8688140511512756,0.4326326549053192,0.8269476890563965,0.41548973321914673,0.8027186393737793,0.40533116459846497,0.7896527051925659,0.42948096990585327,0.8239136338233948,0.43221744894981384,0.8272234797477722,0.4151547849178314,0.8050222992897034,0.46406036615371704,0.8681381344795227,0.4641098082065582,0.8678396344184875,2.872908115386963,0.14092855155467987,0.40953829884529114,0.18245264887809753,0.46340686082839966,0.013848484493792057,0.1278906613588333,0.12844815850257874,0.3985036313533783,0.1308462768793106,0.394389808177948,0.08259066194295883,0.2790220081806183,0.020014554262161255,0.14894026517868042,0.1133209839463234,0.367266446352005,0.458778977394104,0.8615580797195435,0.4373926520347595,0.8322576284408569,0.4118991494178772,0.7926590442657471,0.3873347043991089,0.7628832459449768,0.4222632348537445,0.8134284019470215,0.43423372507095337,0.8278774619102478,0.3971306383609772,0.7832903861999512,0.4588278532028198,0.8626098036766052,0.4630948603153229,0.8667321801185608,2.7127397060394287,0.00019999999494757503
5,0.16485455632209778,0.4582379162311554,0.18327462673187256,0.466440349817276,0.03633693605661392,0.21051627397537231,0.15585224330425262,0.4402093291282654,0.15435972809791565,0.4400426149368286,0.09764617681503296,0.32761457562446594,0.03924240544438362,0.21622289717197418,0.14974039793014526,0.4326331913471222,0.4646240472793579,0.868442952632904,0.43068745732307434,0.8242407441139221,0.4111535847187042,0.7976677417755127,0.3990101218223572,0.7812308669090271,0.42814111709594727,0.8217835426330566,0.4316110610961914,0.8260321617126465,0.4092298746109009,0.7981008291244507,0.46384891867637634,0.8679547905921936,0.4633050262928009,0.8667093515396118,2.824101686477661,0.13796263933181763,0.40399637818336487,0.15141819417476654,0.3945864737033844,0.011074705980718136,0.1103140339255333,0.12465549260377884,0.39721956849098206,0.13103392720222473,0.4067770540714264,0.07892505079507828,0.27404481172561646,0.016899487003684044,0.13283056020736694,0.11641533672809601,0.3750516474246979,0.45808202028274536,0.8608536124229431,0.43609851598739624,0.8296144008636475,0.41744762659072876,0.7956947684288025,0.39756906032562256,0.7692022323608398,0.4237608015537262,0.8123921155929565,0.4363642632961273,0.8322334885597229,0.40551647543907166,0.7916449308395386,0.4608205556869507,0.8650210499763489,0.46454983949661255,0.8683364391326904,2.7037150859832764,0.00019999999494757503
6,0.16177260875701904,0.45273685455322266,0.17295512557029724,0.44922900199890137,0.033948447555303574,0.20299071073532104,0.1491040289402008,0.42847198247909546,0.14877231419086456,0.4310305714607239,0.08968809992074966,0.31381550431251526,0.037306033074855804,0.2104722559452057,0.1409163624048233,0.4189026951789856,0.46440523862838745,0.8683382272720337,0.42911791801452637,0.8224964737892151,0.40816640853881836,0.7934651374816895,0.3966183066368103,0.7779041528701782,0.42775750160217285,0.8213623762130737,0.43025991320610046,0.824769139289856,0.40677833557128906,0.7947514057159424,0.4634982943534851,0.8678205609321594,0.4635429084300995,0.8668773174285889,2.7905614376068115,0.1419411152601242,0.40738481283187866,0.15647004544734955,0.4111853837966919,0.01600811444222927,0.1382441371679306,0.10996972024440765,0.35507938265800476,0.13098709285259247,0.39679914712905884,0.07908432930707932,0.27129271626472473,0.01661592908203602,0.1331675797700882,0.10862210392951965,0.35102221369743347,0.4572896361351013,0.859857439994812,0.4344758689403534,0.8288285136222839,0.4118511378765106,0.7921769022941589,0.390024870634079,0.7675908803939819,0.42464500665664673,0.8133023977279663,0.4371524155139923,0.8345265984535217,0.3922517001628876,0.7767687439918518,0.4593677222728729,0.8631239533424377,0.46374088525772095,0.8673956990242004,2.6840803623199463,0.00019999999494757503
7,0.15864352881908417,0.44612541794776917,0.16467125713825226,0.4347408413887024,0.03303775191307068,0.20046953856945038,0.1423003226518631,0.4181537330150604,0.14567603170871735,0.42522355914115906,0.08397723734378815,0.3018328547477722,0.03557397797703743,0.20547963678836823,0.13688260316848755,0.41276559233665466,0.464010089635849,0.8675939440727234,0.4283154606819153,0.8215842247009277,0.40533289313316345,0.7896876931190491,0.39481601119041443,0.7752246260643005,0.426787793636322,0.8199631571769714,0.4289426803588867,0.8229655623435974,0.403997540473938,0.7912986874580383,0.4631297290325165,0.8670335412025452,0.4628630578517914,0.8664530515670776,2.7642970085144043,0.13297942280769348,0.3897036612033844,0.14487242698669434,0.39497897028923035,0.011966824531555176,0.1153874322772026,0.10960236191749573,0.36424678564071655,0.13112112879753113,0.3882724344730377,0.07935365289449692,0.2640320658683777,0.01432789582759142,0.12166696041822433,0.11760006844997406,0.37707316875457764,0.45762911438941956,0.8602043390274048,0.4346774220466614,0.8282849788665771,0.41235777735710144,0.7908832430839539,0.3901071846485138,0.7637273073196411,0.4234670102596283,0.8111701011657715,0.43494585156440735,0.8277877569198608,0.39146554470062256,0.7753450274467468,0.4590693414211273,0.8627036213874817,0.4634772837162018,0.8671179413795471,2.6703062057495117,0.00019999999494757503
8,0.15434281527996063,0.4394785165786743,0.15697306394577026,0.42258694767951965,0.030680783092975616,0.19335155189037323,0.1377711445093155,0.4092167615890503,0.14370959997177124,0.42159605026245117,0.07950316369533539,0.2931794226169586,0.03427993133664131,0.20199723541736603,0.13203048706054688,0.40362662076950073,0.46349647641181946,0.8672735095024109,0.4278138279914856,0.8209080100059509,0.4033258259296417,0.7872185707092285,0.39201879501342773,0.7714661359786987,0.42544466257095337,0.8173825740814209,0.42926499247550964,0.8227832913398743,0.40333184599876404,0.790180504322052,0.46323126554489136,0.867251992225647,0.4628434479236603,0.8663433194160461,2.741670608520508,0.1425204575061798,0.41716229915618896,0.13769292831420898,0.37185031175613403,0.010390117764472961,0.10719425231218338,0.12361187487840652,0.3963886797428131,0.12494225800037384,0.3844967782497406,0.06920129805803299,0.2484845370054245,0.01608208939433098,0.13483315706253052,0.10592101514339447,0.3550512194633484,0.4567895531654358,0.859297513961792,0.4337051808834076,0.828093409538269,0.4084104299545288,0.7888359427452087,0.3902663588523865,0.7639757394790649,0.42102566361427307,0.8099856972694397,0.43444693088531494,0.8307640552520752,0.39005574584007263,0.7742699384689331,0.46001067757606506,0.8640366196632385,0.4638746678829193,0.8676742911338806,2.6577346324920654,0.00019999999494757503
9,0.15292996168136597,0.43662652373313904,0.1520463228225708,0.4128442704677582,0.02956383302807808,0.18967141211032867,0.13382530212402344,0.4028822183609009,0.14171652495861053,0.4172169268131256,0.07596207410097122,0.2859386205673218,0.03280900418758392,0.1975579410791397,0.12683716416358948,0.3951219618320465,0.4629761278629303,0.8665235042572021,0.4260975420475006,0.8184767961502075,0.40254923701286316,0.7856878638267517,0.3880802392959595,0.7663213610649109,0.42606446146965027,0.8186724185943604,0.42896339297294617,0.8228771686553955,0.4008139371871948,0.786984920501709,0.46273642778396606,0.8666159510612488,0.4626438021659851,0.8662881255149841,2.7225658893585205,0.13419108092784882,0.3852997124195099,0.1387716829776764,0.3713856339454651,0.011811848729848862,0.11536101996898651,0.10577273368835449,0.34876325726509094,0.12786231935024261,0.3818483352661133,0.0693272054195404,0.2430078536272049,0.014035387896001339,0.12256762385368347,0.106040820479393,0.3549645245075226,0.4572761356830597,0.8600068092346191,0.4361433684825897,0.8307386636734009,0.40938934683799744,0.7902590036392212,0.3812442123889923,0.7544744610786438,0.4204231798648834,0.8105384111404419,0.43398118019104004,0.8292176127433777,0.3934977948665619,0.7774733901023865,0.4587033987045288,0.862618088722229,0.46338340640068054,0.8670879006385803,2.6427056789398193,0.00019999999494757503
