epoch,detune_carrier_head_loss,detune_carrier_head_mae,feedback_head_loss,feedback_head_mae,index_12_head_loss,index_12_head_mae,index_23_head_loss,index_23_head_mae,index_3c_head_loss,index_3c_head_mae,index_4c_head_loss,index_4c_head_mae,index_5c_head_loss,index_5c_head_mae,key_scaling_head_loss,key_scaling_head_mae,lfo_depth_cents_head_loss,lfo_depth_cents_head_mae,lfo_rate_head_loss,lfo_rate_head_mae,loss,val_detune_carrier_head_loss,val_detune_carrier_head_mae,val_feedback_head_loss,val_feedback_head_mae,val_index_12_head_loss,val_index_12_head_mae,val_index_23_head_loss,val_index_23_head_mae,val_index_3c_head_loss,val_index_3c_head_mae,val_index_4c_head_loss,val_index_4c_head_mae,val_index_5c_head_loss,val_index_5c_head_mae,val_key_scaling_head_loss,val_key_scaling_head_mae,val_lfo_depth_cents_head_loss,val_lfo_depth_cents_head_mae,val_lfo_rate_head_loss,val_lfo_rate_head_mae,val_loss,learning_rate
0,0.47677141427993774,0.8801769614219666,0.4752097427845001,0.87977534532547,0.44976863265037537,0.8462968468666077,0.4437921345233917,0.8377155661582947,0.4472390413284302,0.8429528474807739,0.4522542655467987,0.8496256470680237,0.44640183448791504,0.8421552777290344,0.45556771755218506,0.8543177843093872,0.4720143675804138,0.8758185505867004,0.476762592792511,0.8804778456687927,2.911284923553467,0.46347492933273315,0.8676956295967102,0.4562295377254486,0.8589134216308594,0.4408971071243286,0.8393100500106812,0.42240360379219055,0.8066900372505188,0.41430720686912537,0.7986679077148438,0.4288441240787506,0.8255727291107178,0.43462279438972473,0.8296166062355042,0.4122588336467743,0.8043277859687805,0.4590492248535156,0.8632273077964783,0.46436089277267456,0.8685610890388489,2.7855570316314697,0.00019999999494757503
1,0.46697142720222473,0.8706591129302979,0.4670446217060089,0.8709452152252197,0.4362815320491791,0.8306035995483398,0.4176124632358551,0.8055390119552612,0.4215888977050781,0.8117780685424805,0.43732234835624695,0.8332376480102539,0.43187689781188965,0.8255638480186462,0.42062506079673767,0.8116772770881653,0.46618759632110596,0.8699144124984741,0.4662705957889557,0.8698036074638367,2.8058836460113525,0.4663988947868347,0.8705856800079346,0.4569644629955292,0.8594003915786743,0.4337097704410553,0.829647958278656,0.4016525447368622,0.7840958833694458,0.40713760256767273,0.792060136795044,0.42270055413246155,0.8171192407608032,0.4256701171398163,0.8189704418182373,0.3973986804485321,0.7840974926948547,0.4594365358352661,0.8634434342384338,0.4643012583255768,0.8685423731803894,2.744723320007324,0.00019999999494757503
2,0.46588245034217834,0.8698703050613403,0.4658701717853546,0.8698435425758362,0.4324089586734772,0.8261995911598206,0.4073691964149475,0.7919018268585205,0.41257014870643616,0.8001936674118042,0.4321536123752594,0.8267545700073242,0.4217985272407532,0.8124605417251587,0.4094233810901642,0.7980908751487732,0.46518027782440186,0.8690348267555237,0.4642587900161743,0.8677764534950256,2.7698330879211426,0.46380117535591125,0.8679006099700928,0.4582187533378601,0.8606961369514465,0.43431025743484497,0.8287378549575806,0.40283361077308655,0.7802138924598694,0.40461206436157227,0.7842342853546143,0.4187226891517639,0.8072320222854614,0.41308483481407166,0.7959864139556885,0.3913136124610901,0.7735370993614197,0.4599095582962036,0.863472580909729,0.4674302637577057,0.8715850710868835,2.7302441596984863,0.00019999999494757503
3,0.4646223485469818,0.8683059215545654,0.46491098403930664,0.8689082860946655,0.4292334020137787,0.8224049806594849,0.3989802598953247,0.7815092206001282,0.40730980038642883,0.7923139929771423,0.42671021819114685,0.819446325302124,0.4138297736644745,0.8013741970062256,0.40387803316116333,0.7907925248146057,0.46470943093299866,0.8689624667167664,0.4643983542919159,0.8682592511177063,2.744086742401123,0.4640425741672516,0.8682470917701721,0.4559023976325989,0.8585849404335022,0.42796024680137634,0.8198131322860718,0.39959368109703064,0.7694787383079529,0.3993070423603058,0.7810805439949036,0.4265896677970886,0.8110727667808533,0.39976465702056885,0.7849278450012207,0.39096128940582275,0.7752716541290283,0.45901280641555786,0.862743079662323,0.46365389227867126,0.8675293922424316,2.7121214866638184,0.00019999999494757503
4,0.4638180434703827,0.8675262928009033,0.464299738407135,0.8683803081512451,0.42757219076156616,0.8201398849487305,0.39498528838157654,0.7755792737007141,0.40425872802734375,0.7892710566520691,0.4246080815792084,0.8165536522865295,0.4070327579975128,0.7915845513343811,0.3986921012401581,0.7841799259185791,0.46425577998161316,0.8685347437858582,0.4642709791660309,0.8678658604621887,2.727728843688965,0.46393370628356934,0.8681455850601196,0.45617732405662537,0.859021782875061,0.4293553829193115,0.8222139477729797,0.4003298282623291,0.7661828398704529,0.3980024456977844,0.7733803987503052,0.41571468114852905,0.8035323619842529,0.39111587405204773,0.7755202651023865,0.38580402731895447,0.76448655128479,0.45913153886795044,0.8631678223609924,0.463787317276001,0.8673815727233887,2.696413993835449,0.00019999999494757503
5,0.46332576870918274,0.8669566512107849,0.46308633685112,0.8666951656341553,0.42457976937294006,0.8165640234947205,0.3895368278026581,0.7679124474525452,0.40173962712287903,0.7853351831436157,0.42080411314964294,0.8112488985061646,0.4003705084323883,0.7832766771316528,0.39569011330604553,0.7792783379554749,0.46375733613967896,0.8677348494529724,0.46300002932548523,0.8666596412658691,2.709127426147461,0.4634997248649597,0.8679489493370056,0.4568741023540497,0.8594964146614075,0.4269857704639435,0.8200768828392029,0.38482633233070374,0.7544812560081482,0.38866132497787476,0.7636926174163818,0.4130999743938446,0.7990050315856934,0.3895735740661621,0.7716784477233887,0.38300415873527527,0.7624921202659607,0.46008720993995667,0.8643094897270203,0.4636376202106476,0.8671255111694336,2.673459053039551,0.00019999999494757503
6,0.46319714188575745,0.8667784333229065,0.462950736284256,0.8666519522666931,0.42235106229782104,0.814003586769104,0.3896283507347107,0.7683899402618408,0.3962581753730774,0.7781438827514648,0.4205777943134308,0.8113266229629517,0.394908607006073,0.7758641242980957,0.3943566083908081,0.7786904573440552,0.4635053873062134,0.8675304055213928,0.4633263945579529,0.8668616414070129,2.6989588737487793,0.46453359723091125,0.8689655065536499,0.45569485425949097,0.8584334254264832,0.42580899596214294,0.8175173997879028,0.38609009981155396,0.7520353198051453,0.3863300383090973,0.7591260671615601,0.4142298102378845,0.8024817109107971,0.383139431476593,0.7548848986625671,0.3789687156677246,0.7603923082351685,0.4597815275192261,0.8637998104095459,0.46353012323379517,0.8672371506690979,2.6657514572143555,0.00019999999494757503
7,0.4625847339630127,0.8662416934967041,0.4630686640739441,0.8668268322944641,0.42111220955848694,0.8126178979873657,0.38520461320877075,0.7623769640922546,0.3941987454891205,0.7752802968025208,0.41681018471717834,0.8061854243278503,0.3918132185935974,0.770907998085022,0.39423203468322754,0.7781717777252197,0.46330714225769043,0.8672880530357361,0.4629540741443634,0.8665741086006165,2.688042163848877,0.4645061492919922,0.8689073920249939,0.45612820982933044,0.8586819767951965,0.42763838171958923,0.8158445358276367,0.39723438024520874,0.7594332695007324,0.39175161719322205,0.7589766979217529,0.4129570722579956,0.7979079484939575,0.3860601782798767,0.7589863538742065,0.3875972628593445,0.769136369228363,0.45940467715263367,0.8635078072547913,0.4636848568916321,0.867129385471344,2.684628486633301,0.00019999999494757503
8,0.46279338002204895,0.866485059261322,0.4630153477191925,0.8669000864028931,0.41977107524871826,0.8103410005569458,0.38354605436325073,0.7601101994514465,0.3904911279678345,0.7702239751815796,0.417858362197876,0.8074547648429871,0.38855302333831787,0.7668595314025879,0.39240360260009766,0.775895357131958,0.46347615122795105,0.8675157427787781,0.46247220039367676,0.866166353225708,2.680717945098877,0.46374788880348206,0.8681366443634033,0.45592066645622253,0.8586318492889404,0.4324553608894348,0.8167197108268738,0.3848166763782501,0.7517213821411133,0.37997302412986755,0.7533650994300842,0.40788957476615906,0.7923279404640198,0.3717973232269287,0.7453223466873169,0.38187187910079956,0.7633711099624634,0.4589109718799591,0.8630479574203491,0.4636995792388916,0.8671811819076538,2.653510332107544,0.00019999999494757503
9,0.4624205231666565,0.8660024404525757,0.46232813596725464,0.8658673763275146,0.4190989136695862,0.8089897632598877,0.38161078095436096,0.7582097053527832,0.38901737332344055,0.7681834101676941,0.41506752371788025,0.8038614392280579,0.38538360595703125,0.7617731094360352,0.3911731541156769,0.7742998600006104,0.4633832573890686,0.8674376606941223,0.4624131917953491,0.8661689162254333,2.672302484512329,0.4635030925273895,0.8678549528121948,0.45613399147987366,0.8589200973510742,0.4225611686706543,0.8170472979545593,0.3839837908744812,0.7508987784385681,0.38650044798851013,0.7568641901016235,0.4126170575618744,0.7966368794441223,0.3737921118736267,0.7500162124633789,0.3820342719554901,0.7644776105880737,0.4595215916633606,0.8636235594749451,0.4634362459182739,0.866899847984314,2.6555137634277344,0.00019999999494757503
