loss,mae,mse,val_loss,val_mae,val_mse,epoch
9.894288063049316,0.7845452427864075,1.4315612316131592,2.895819664001465,0.7044646143913269,0.7951486706733704,0
2.102139949798584,0.6624323725700378,0.7386263012886047,1.563976526260376,0.6507543325424194,0.7232685685157776,1
1.275842547416687,0.6357022523880005,0.7008341550827026,1.0541568994522095,0.6254478096961975,0.6727877855300903,2
0.9604093432426453,0.6205163598060608,0.677331805229187,0.8827182650566101,0.5890657305717468,0.6665764451026917,3
0.8362520337104797,0.6129796504974365,0.6669114828109741,0.7721763253211975,0.5992042422294617,0.6384540796279907,4
0.7719356417655945,0.6043478846549988,0.6549552083015442,0.7311591506004333,0.5876255035400391,0.6299241185188293,5
0.7451064586639404,0.5987815260887146,0.647202730178833,0.7107377052307129,0.5722606778144836,0.6183854341506958,6
0.7302477955818176,0.5956063866615295,0.6429023146629333,0.709284245967865,0.5727320909500122,0.6321844458580017,7
0.7159463763237,0.5918371677398682,0.6377211809158325,0.6895103454589844,0.5741723775863647,0.6131733655929565,8
0.7119385004043579,0.5880637764930725,0.6338942646980286,0.696760892868042,0.5930927395820618,0.6264175772666931,9
0.7042635679244995,0.5870436429977417,0.6321620941162109,0.6912769079208374,0.5814107060432434,0.6213226318359375,10
0.7027832865715027,0.5864856243133545,0.6296311616897583,0.6838893294334412,0.5489552617073059,0.6119385361671448,11
0.6969078779220581,0.5819827318191528,0.6248859763145447,0.6742860674858093,0.5617548823356628,0.6021941304206848,12
0.6902229189872742,0.5798104405403137,0.6216120719909668,0.6716699004173279,0.5480917692184448,0.595900297164917,13
0.6880075931549072,0.5773525238037109,0.6175386309623718,0.6711938381195068,0.5584558248519897,0.5938815474510193,14
0.6870416402816772,0.5763659477233887,0.6174398064613342,0.6613132953643799,0.5549984574317932,0.5924041867256165,15
0.68408203125,0.5764188766479492,0.6163915395736694,0.6656239032745361,0.5506163835525513,0.595151960849762,16
0.6793540716171265,0.5720120668411255,0.6108083128929138,0.6565211415290833,0.5449564456939697,0.5936550498008728,17
0.6781229972839355,0.5712274312973022,0.6112481355667114,0.6704946160316467,0.5546426177024841,0.6019270420074463,18
0.6745482683181763,0.570067286491394,0.6073595285415649,0.6575952172279358,0.5486429333686829,0.5952649712562561,19
0.6735616326332092,0.5696907043457031,0.6083936095237732,0.6690739393234253,0.5480943322181702,0.6001932621002197,20
