cat__algorithm_loss,cat__algorithm_sparse_categorical_accuracy,cat__env1_curve_attack_loss,cat__env1_curve_attack_sparse_categorical_accuracy,cat__env1_curve_decay_loss,cat__env1_curve_decay_sparse_categorical_accuracy,cat__env1_curve_release_loss,cat__env1_curve_release_sparse_categorical_accuracy,cat__env2_curve_attack_loss,cat__env2_curve_attack_sparse_categorical_accuracy,cat__env2_curve_decay_loss,cat__env2_curve_decay_sparse_categorical_accuracy,cat__env2_curve_release_loss,cat__env2_curve_release_sparse_categorical_accuracy,cat__env3_curve_attack_loss,cat__env3_curve_attack_sparse_categorical_accuracy,cat__env3_curve_decay_loss,cat__env3_curve_decay_sparse_categorical_accuracy,cat__env3_curve_release_loss,cat__env3_curve_release_sparse_categorical_accuracy,cat__env4_curve_attack_loss,cat__env4_curve_attack_sparse_categorical_accuracy,cat__env4_curve_decay_loss,cat__env4_curve_decay_sparse_categorical_accuracy,cat__env4_curve_release_loss,cat__env4_curve_release_sparse_categorical_accuracy,cat__env5_curve_attack_loss,cat__env5_curve_attack_sparse_categorical_accuracy,cat__env5_curve_decay_loss,cat__env5_curve_decay_sparse_categorical_accuracy,cat__env5_curve_release_loss,cat__env5_curve_release_sparse_categorical_accuracy,cat__env_carrier_curve_attack_loss,cat__env_carrier_curve_attack_sparse_categorical_accuracy,cat__env_carrier_curve_decay_loss,cat__env_carrier_curve_decay_sparse_categorical_accuracy,cat__env_carrier_curve_release_loss,cat__env_carrier_curve_release_sparse_categorical_accuracy,cat__style_loss,cat__style_sparse_categorical_accuracy,loss,val_cat__algorithm_loss,val_cat__algorithm_sparse_categorical_accuracy,val_cat__env1_curve_attack_loss,val_cat__env1_curve_attack_sparse_categorical_accuracy,val_cat__env1_curve_decay_loss,val_cat__env1_curve_decay_sparse_categorical_accuracy,val_cat__env1_curve_release_loss,val_cat__env1_curve_release_sparse_categorical_accuracy,val_cat__env2_curve_attack_loss,val_cat__env2_curve_attack_sparse_categorical_accuracy,val_cat__env2_curve_decay_loss,val_cat__env2_curve_decay_sparse_categorical_accuracy,val_cat__env2_curve_release_loss,val_cat__env2_curve_release_sparse_categorical_accuracy,val_cat__env3_curve_attack_loss,val_cat__env3_curve_attack_sparse_categorical_accuracy,val_cat__env3_curve_decay_loss,val_cat__env3_curve_decay_sparse_categorical_accuracy,val_cat__env3_curve_release_loss,val_cat__env3_curve_release_sparse_categorical_accuracy,val_cat__env4_curve_attack_loss,val_cat__env4_curve_attack_sparse_categorical_accuracy,val_cat__env4_curve_decay_loss,val_cat__env4_curve_decay_sparse_categorical_accuracy,val_cat__env4_curve_release_loss,val_cat__env4_curve_release_sparse_categorical_accuracy,val_cat__env5_curve_attack_loss,val_cat__env5_curve_attack_sparse_categorical_accuracy,val_cat__env5_curve_decay_loss,val_cat__env5_curve_decay_sparse_categorical_accuracy,val_cat__env5_curve_release_loss,val_cat__env5_curve_release_sparse_categorical_accuracy,val_cat__env_carrier_curve_attack_loss,val_cat__env_carrier_curve_attack_sparse_categorical_accuracy,val_cat__env_carrier_curve_decay_loss,val_cat__env_carrier_curve_decay_sparse_categorical_accuracy,val_cat__env_carrier_curve_release_loss,val_cat__env_carrier_curve_release_sparse_categorical_accuracy,val_cat__style_loss,val_cat__style_sparse_categorical_accuracy,val_loss,learning_rate,epoch,cat_acc_mean,val_cat_acc_mean,cat_loss_mean,val_cat_loss_mean
2.0617876052856445,0.1589999943971634,1.3996762037277222,0.24783332645893097,1.4019229412078857,0.23083333671092987,1.4023164510726929,0.24400000274181366,1.3976380825042725,0.25566667318344116,1.3993561267852783,0.24966666102409363,1.3998278379440308,0.2616666555404663,1.4012259244918823,0.24383333325386047,1.3987884521484375,0.24816666543483734,1.400549054145813,0.2486666738986969,1.3968995809555054,0.2540000081062317,1.399104356765747,0.25699999928474426,1.3973459005355835,0.25699999928474426,1.3982880115509033,0.24916666746139526,1.39840567111969,0.24650000035762787,1.3978087902069092,0.24699999392032623,1.3998734951019287,0.24383333325386047,1.3986570835113525,0.2523333430290222,1.3990424871444702,0.25183331966400146,0.3506569564342499,0.8968333601951599,3.643378496170044,2.0337605476379395,0.16066665947437286,1.3918472528457642,0.23800000548362732,1.3863515853881836,0.2639999985694885,1.3921175003051758,0.24400000274181366,1.3929318189620972,0.2540000081062317,1.3901749849319458,0.2460000067949295,1.399535059928894,0.2253333330154419,1.3940995931625366,0.23933333158493042,1.392630934715271,0.23533333837985992,1.3886147737503052,0.24933333694934845,1.3959617614746094,0.2226666659116745,1.3899760246276855,0.25466665625572205,1.3906993865966797,0.25066667795181274,1.3918218612670898,0.24199999868869781,1.3875460624694824,0.26600000262260437,1.3865638971328735,0.24400000274181366,1.3895443677902222,0.24666666984558105,1.3883699178695679,0.26733332872390747,1.3901649713516235,0.2593333423137665,0.3176230788230896,0.8973333239555359,3.597259521484375,0.0010000000474974513,0,0.2772416673600674,0.275333334505558,1.379958550632,1.3695167690515517
2.010371208190918,0.19566667079925537,1.3927301168441772,0.2516666650772095,1.3913801908493042,0.2523333430290222,1.3933236598968506,0.2535000145435333,1.3900904655456543,0.257666677236557,1.3891719579696655,0.25583332777023315,1.3918462991714478,0.257833331823349,1.391597032546997,0.2524999976158142,1.3940478563308716,0.24933333694934845,1.3922981023788452,0.257833331823349,1.3923671245574951,0.25316667556762695,1.3907076120376587,0.2554999887943268,1.3897045850753784,0.25183331966400146,1.3915009498596191,0.2536666691303253,1.3923354148864746,0.25316667556762695,1.3908135890960693,0.24799999594688416,1.3903964757919312,0.2566666603088379,1.3918402194976807,0.25316667556762695,1.3910887241363525,0.257666677236557,0.30786171555519104,0.8981666564941406,3.574812173843384,2.0156960487365723,0.17666666209697723,1.3914262056350708,0.25600001215934753,1.390457034111023,0.2540000081062317,1.386916160583496,0.25066667795181274,1.3925213813781738,0.23933333158493042,1.3878107070922852,0.2619999945163727,1.3939720392227173,0.2433333396911621,1.391707420349121,0.2526666522026062,1.3912633657455444,0.23999999463558197,1.391417145729065,0.2486666738986969,1.3907495737075806,0.23266667127609253,1.3888720273971558,0.2526666522026062,1.3886771202087402,0.2513333261013031,1.3916844129562378,0.2526666522026062,1.391111969947815,0.25999999046325684,1.3887840509414673,0.25999999046325684,1.393009066581726,0.24133333563804626,1.3863567113876343,0.257999986410141,1.3917765617370605,0.23866666853427887,0.3080585300922394,0.8973333239555359,3.577855110168457,0.0010000000474974513,1,0.2832583345472813,0.27839999720454217,1.368273665010929,1.3676133766770362
1.9842957258224487,0.20933333039283752,1.38848876953125,0.25850000977516174,1.3903454542160034,0.2554999887943268,1.3895562887191772,0.257999986410141,1.3885468244552612,0.26100000739097595,1.388502836227417,0.25716665387153625,1.3905988931655884,0.26100000739097595,1.3885022401809692,0.257999986410141,1.38906991481781,0.2709999978542328,1.3884453773498535,0.2643333375453949,1.3882200717926025,0.2669999897480011,1.3888508081436157,0.2590000033378601,1.389425277709961,0.26383334398269653,1.389585018157959,0.2631666660308838,1.3903610706329346,0.2619999945163727,1.3903687000274658,0.25716665387153625,1.3880122900009155,0.2603333294391632,1.3905730247497559,0.26100000739097595,1.3900927305221558,0.25949999690055847,0.3050425052642822,0.8989999890327454,3.5459306240081787,2.014362335205078,0.18400000035762787,1.3926448822021484,0.24799999594688416,1.3865251541137695,0.2639999985694885,1.3919000625610352,0.2460000067949295,1.3931814432144165,0.23600000143051147,1.388536810874939,0.24666666984558105,1.3932222127914429,0.25066667795181274,1.3894370794296265,0.25999999046325684,1.3972481489181519,0.22466666996479034,1.3889398574829102,0.24066667258739471,1.3927240371704102,0.23999999463558197,1.3925379514694214,0.23066666722297668,1.3898539543151855,0.24933333694934845,1.3974896669387817,0.23133333027362823,1.3923906087875366,0.24133333563804626,1.3931602239608765,0.25999999046325684,1.389299750328064,0.25866666436195374,1.3929344415664673,0.2446666657924652,1.392251968383789,0.25066667795181274,0.31209632754325867,0.8973333239555359,3.577122449874878,0.0010000000474974513,2,0.2902916640043259,0.2752333335578442,1.3648441910743714,1.3690368458628654
1.9644129276275635,0.22083333134651184,1.3895188570022583,0.257833331823349,1.3876391649246216,0.2619999945163727,1.3868203163146973,0.26483333110809326,1.388478398323059,0.25833332538604736,1.385926604270935,0.2761666774749756,1.388199806213379,0.2613333463668823,1.388510823249817,0.2626666724681854,1.389780044555664,0.2633333206176758,1.3906617164611816,0.26116666197776794,1.387771725654602,0.2631666660308838,1.3878470659255981,0.2691666781902313,1.388047218322754,0.26866665482521057,1.3877712488174438,0.2553333342075348,1.3846619129180908,0.2721666693687439,1.3880072832107544,0.2606666684150696,1.3881231546401978,0.25683334469795227,1.3892934322357178,0.2515000104904175,1.385788917541504,0.27166667580604553,0.30335015058517456,0.8985000252723694,3.5239834785461426,1.995975375175476,0.18933333456516266,1.3975768089294434,0.23733332753181458,1.388370156288147,0.24799999594688416,1.3878730535507202,0.2513333261013031,1.394281029701233,0.25066667795181274,1.3919514417648315,0.2473333328962326,1.3938536643981934,0.2486666738986969,1.3907805681228638,0.26466667652130127,1.388948917388916,0.2706666588783264,1.3884943723678589,0.2433333396911621,1.3898749351501465,0.24266666173934937,1.3917344808578491,0.24666666984558105,1.3894447088241577,0.23933333158493042,1.3955836296081543,0.25600001215934753,1.3952361345291138,0.24799999594688416,1.3920058012008667,0.23600000143051147,1.3884329795837402,0.2653333246707916,1.3930851221084595,0.24799999594688416,1.398305058479309,0.2280000001192093,0.30376145243644714,0.8973333239555359,3.5573365688323975,0.0010000000474974513,3,0.292808336019516,0.2779333330690861,1.3625305384397506,1.3677784845232963
1.9461603164672852,0.23199999332427979,1.3853840827941895,0.2720000147819519,1.3849107027053833,0.2745000123977661,1.3848987817764282,0.2698333263397217,1.3887845277786255,0.2696666717529297,1.3875603675842285,0.26483333110809326,1.388038992881775,0.26350000500679016,1.3901954889297485,0.257999986410141,1.3867099285125732,0.25450000166893005,1.387049913406372,0.2680000066757202,1.3880057334899902,0.26100000739097595,1.386266827583313,0.27033331990242004,1.3866779804229736,0.26883333921432495,1.3865700960159302,0.2746666669845581,1.3840819597244263,0.2723333239555359,1.3884090185165405,0.2711666524410248,1.3872017860412598,0.2681666612625122,1.3877196311950684,0.25699999928474426,1.3848544359207153,0.2680000066757202,0.3033406138420105,0.8993333578109741,3.50412917137146,2.009535074234009,0.195333331823349,1.4007568359375,0.2253333330154419,1.388792634010315,0.25066667795181274,1.3898745775222778,0.26600000262260437,1.3952298164367676,0.23399999737739563,1.393130898475647,0.24199999868869781,1.3975534439086914,0.24400000274181366,1.3920527696609497,0.2540000081062317,1.3957666158676147,0.24266666173934937,1.3923749923706055,0.24133333563804626,1.388852596282959,0.2460000067949295,1.3929272890090942,0.2513333261013031,1.3965415954589844,0.25066667795181274,1.3994516134262085,0.25,1.391915202140808,0.25600001215934753,1.3906358480453491,0.25733333826065063,1.3905366659164429,0.2613333463668823,1.392572283744812,0.25866666436195374,1.3967205286026,0.24066667258739471,0.3145473301410675,0.8973333239555359,3.5737154483795166,0.0010000000474974513,4,0.29688333421945573,0.27823333591222765,1.3606410592794418,1.3704884305596352
1.929376482963562,0.22983333468437195,1.385311484336853,0.2731666564941406,1.3843321800231934,0.2666666805744171,1.386850118637085,0.27266666293144226,1.3871979713439941,0.265666663646698,1.3852547407150269,0.2685000002384186,1.3824748992919922,0.2693333327770233,1.3864167928695679,0.26733332872390747,1.3852553367614746,0.27649998664855957,1.3865405321121216,0.273333340883255,1.3883869647979736,0.2641666531562805,1.3865361213684082,0.26649999618530273,1.3869194984436035,0.2671666741371155,1.3867161273956299,0.27033331990242004,1.3851263523101807,0.2626666724681854,1.3881230354309082,0.2668333351612091,1.3847647905349731,0.27283334732055664,1.3846445083618164,0.2798333466053009,1.3850914239883423,0.2668333351612091,0.30220142006874084,0.8991666436195374,3.4865944385528564,2.0131399631500244,0.18799999356269836,1.3952083587646484,0.22333332896232605,1.3907337188720703,0.2566666603088379,1.3899874687194824,0.26466667652130127,1.3882819414138794,0.2593333423137665,1.3862072229385376,0.2606666684150696,1.3974989652633667,0.25333333015441895,1.395790934562683,0.2293333262205124,1.3891581296920776,0.2606666684150696,1.3915581703186035,0.23266667127609253,1.392277717590332,0.2619999945163727,1.3921560049057007,0.25066667795181274,1.395459532737732,0.24666666984558105,1.3936142921447754,0.23666666448116302,1.3947747945785522,0.25999999046325684,1.3877977132797241,0.2680000066757202,1.3912752866744995,0.2460000067949295,1.3885549306869507,0.25200000405311584,1.392393946647644,0.25466665625572205,0.3102349042892456,0.8973333239555359,3.577213764190674,0.0010000000474974513,5,0.29896666556596757,0.28013333305716515,1.3588760390877723,1.3688051998615265
1.9106513261795044,0.24699999392032623,1.384910225868225,0.2718333303928375,1.3825390338897705,0.28216665983200073,1.3844823837280273,0.27283334732055664,1.3858859539031982,0.2658333480358124,1.3830903768539429,0.26750001311302185,1.3834832906723022,0.27549999952316284,1.3854023218154907,0.265500009059906,1.3860375881195068,0.2761666774749756,1.387880563735962,0.2668333351612091,1.3849974870681763,0.26750001311302185,1.384792447090149,0.2773333191871643,1.3811017274856567,0.2786666750907898,1.382279634475708,0.2771666646003723,1.3834515810012817,0.2763333320617676,1.3845828771591187,0.26783332228660583,1.3854292631149292,0.2691666781902313,1.3849729299545288,0.27033331990242004,1.384273886680603,0.27533334493637085,0.3018198013305664,0.8989999890327454,3.4660351276397705,2.0212604999542236,0.18933333456516266,1.3965617418289185,0.23999999463558197,1.3880919218063354,0.24933333694934845,1.3950066566467285,0.25,1.3936578035354614,0.2526666522026062,1.3881291151046753,0.2666666805744171,1.3988698720932007,0.22733333706855774,1.3936662673950195,0.23666666448116302,1.3933372497558594,0.24533332884311676,1.3928700685501099,0.24400000274181366,1.3940123319625854,0.23733332753181458,1.3941594362258911,0.24133333563804626,1.401350975036621,0.25333333015441895,1.396013855934143,0.24533332884311676,1.3927712440490723,0.23800000548362732,1.3934725522994995,0.2513333261013031,1.3906551599502563,0.25333333015441895,1.3969621658325195,0.23533333837985992,1.3965941667556763,0.2460000067949295,0.3086067736148834,0.8973333239555359,3.585418224334717,0.0010000000474974513,6,0.3024916686117649,0.27499999925494195,1.3566032350063324,1.371302492916584
1.8918617963790894,0.2561666667461395,1.3814005851745605,0.27900001406669617,1.3845691680908203,0.2775000035762787,1.3844883441925049,0.28316667675971985,1.3843109607696533,0.27416667342185974,1.3808752298355103,0.2786666750907898,1.3817775249481201,0.2849999964237213,1.3837965726852417,0.27516666054725647,1.386985421180725,0.27399998903274536,1.384223461151123,0.2796666622161865,1.3808958530426025,0.2901666760444641,1.3855843544006348,0.2783333361148834,1.3825498819351196,0.2874999940395355,1.3848503828048706,0.2823333442211151,1.3831768035888672,0.2770000100135803,1.3848766088485718,0.2758333384990692,1.3830760717391968,0.2773333191871643,1.3809301853179932,0.2798333466053009,1.3805304765701294,0.2786666750907898,0.2957470715045929,0.9004999995231628,3.44472074508667,2.0229735374450684,0.19200000166893005,1.4011183977127075,0.23666666448116302,1.3894399404525757,0.25066667795181274,1.394728183746338,0.2486666738986969,1.3921478986740112,0.26733332872390747,1.388234257698059,0.2633333206176758,1.4008477926254272,0.25066667795181274,1.3997496366500854,0.2293333262205124,1.3978627920150757,0.23999999463558197,1.393165111541748,0.2619999945163727,1.394923210144043,0.24933333694934845,1.3943389654159546,0.23800000548362732,1.4036403894424438,0.24933333694934845,1.3993061780929565,0.24199999868869781,1.3929179906845093,0.2473333328962326,1.3972668647766113,0.24266666173934937,1.3932963609695435,0.2593333423137665,1.3967477083206177,0.24066667258739471,1.4006314277648926,0.25333333015441895,0.30915567278862,0.8973333239555359,3.5897433757781982,0.0010000000474974513,7,0.30950000286102297,0.2780000001192093,1.3543253377079965,1.3731246158480643
1.8608497381210327,0.27816668152809143,1.3825013637542725,0.2826666533946991,1.3822141885757446,0.2809999883174896,1.3838729858398438,0.2800000011920929,1.3813494443893433,0.27566665410995483,1.3787423372268677,0.2930000126361847,1.3820664882659912,0.2874999940395355,1.3849873542785645,0.27300000190734863,1.3833762407302856,0.27516666054725647,1.3803770542144775,0.2841666638851166,1.3845760822296143,0.2770000100135803,1.3810451030731201,0.27816668152809143,1.3788913488388062,0.2888333201408386,1.3806240558624268,0.2863333225250244,1.3784804344177246,0.28566667437553406,1.380843162536621,0.27916666865348816,1.3829902410507202,0.28349998593330383,1.3829257488250732,0.2706666588783264,1.3814830780029297,0.2841666638851166,0.2962563931941986,0.9011666774749756,3.412339925765991,2.0318992137908936,0.1979999989271164,1.3952560424804688,0.24533332884311676,1.3937801122665405,0.2619999945163727,1.3924788236618042,0.26733332872390747,1.3936740159988403,0.2446666657924652,1.386123776435852,0.27533334493637085,1.3988126516342163,0.22866666316986084,1.402971863746643,0.23600000143051147,1.3988369703292847,0.24400000274181366,1.3973082304000854,0.24799999594688416,1.3945565223693848,0.2606666684150696,1.395856499671936,0.25600001215934753,1.401936411857605,0.25866666436195374,1.3958410024642944,0.25999999046325684,1.3950519561767578,0.25999999046325684,1.3991708755493164,0.23933333158493042,1.3907108306884766,0.2606666684150696,1.3978533744812012,0.25066667795181274,1.3967777490615845,0.2666666805744171,0.3115086257457733,0.8960000276565552,3.5993564128875732,0.0010000000474974513,8,0.31224999874830245,0.28290000185370445,1.3514226421713829,1.373520277440548
1.8418476581573486,0.28299999237060547,1.3797850608825684,0.28466665744781494,1.3814042806625366,0.28083333373069763,1.3788747787475586,0.2863333225250244,1.3788387775421143,0.2848333418369293,1.3794896602630615,0.2866666615009308,1.379017949104309,0.2861666679382324,1.382456660270691,0.27549999952316284,1.3818001747131348,0.2849999964237213,1.3817003965377808,0.28466665744781494,1.3827719688415527,0.27900001406669617,1.378855586051941,0.28683334589004517,1.3805681467056274,0.2878333330154419,1.38103449344635,0.27916666865348816,1.382594347000122,0.27950000762939453,1.3820589780807495,0.28333333134651184,1.379776954650879,0.28433331847190857,1.382320761680603,0.27133333683013916,1.3779256343841553,0.28450000286102295,0.29342809319496155,0.9008333086967468,3.391420602798462,2.0742619037628174,0.20866666734218597,1.4035142660140991,0.23999999463558197,1.3896044492721558,0.25733333826065063,1.396152377128601,0.2486666738986969,1.3983999490737915,0.24533332884311676,1.3930740356445312,0.2666666805744171,1.4030046463012695,0.2553333342075348,1.4010138511657715,0.23199999332427979,1.4040369987487793,0.24133333563804626,1.3994210958480835,0.24133333563804626,1.3958654403686523,0.2540000081062317,1.3930765390396118,0.2593333423137665,1.4086352586746216,0.23866666853427887,1.4004602432250977,0.23533333837985992,1.3904317617416382,0.2593333423137665,1.3942373991012573,0.24066667258739471,1.395747184753418,0.2619999945163727,1.3983994722366333,0.25200000405311584,1.4037795066833496,0.25733333826065063,0.30961957573890686,0.8960000276565552,3.642760992050171,0.0010000000474974513,9,0.31371666491031647,0.27956667095422744,1.3493275180459023,1.3776367977261543
