epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
0,0.6620994210243225,0.6035000085830688,0.5840323567390442,0.6848333477973938,0.00019999999494757503
1,0.5967950820922852,0.6797353029251099,0.5980634093284607,0.6793333292007446,0.00019999999494757503
2,0.570905864238739,0.6994411945343018,0.5465372204780579,0.7105000019073486,0.00019999999494757503
3,0.5560798645019531,0.7114706039428711,0.5289674401283264,0.7254999876022339,0.00019999999494757503
4,0.5380460619926453,0.7232353091239929,0.529768705368042,0.7285000085830688,0.00019999999494757503
5,0.5243602991104126,0.7310588359832764,0.5015364289283752,0.7456666827201843,0.00019999999494757503
6,0.5147855281829834,0.7388823628425598,0.5362135171890259,0.7451666593551636,0.00019999999494757503
7,0.5005921125411987,0.7492058873176575,0.4970228970050812,0.7493333220481873,0.00019999999494757503
8,0.4876960515975952,0.75811767578125,0.4930694103240967,0.753166675567627,0.00019999999494757503
9,0.474580317735672,0.7667058706283569,0.4969992935657501,0.7480000257492065,0.00019999999494757503
10,0.4647969603538513,0.7719117403030396,0.48086076974868774,0.7651666402816772,0.00019999999494757503
11,0.45091119408607483,0.7833529114723206,0.47351986169815063,0.7599999904632568,0.00019999999494757503
12,0.44158846139907837,0.7877941131591797,0.4661397337913513,0.7668333053588867,0.00019999999494757503
13,0.42800506949424744,0.7945882081985474,0.4672524034976959,0.7710000276565552,0.00019999999494757503
14,0.4178586006164551,0.8031470775604248,0.4788622558116913,0.7678333520889282,0.00019999999494757503
15,0.38390401005744934,0.8208823800086975,0.4534739553928375,0.7836666703224182,9.999999747378752e-05
16,0.36530283093452454,0.8298823237419128,0.47110772132873535,0.7823333144187927,9.999999747378752e-05
17,0.35911476612091064,0.8355293869972229,0.513818621635437,0.7730000019073486,9.999999747378752e-05
18,0.33626705408096313,0.8480294346809387,0.48302289843559265,0.7861666679382324,4.999999873689376e-05
19,0.3266284167766571,0.8537647128105164,0.4789239764213562,0.7921666502952576,4.999999873689376e-05
20,0.31013041734695435,0.8598529696464539,0.49308085441589355,0.7893333435058594,2.499999936844688e-05
