file_name,pitch,pitch_hz,fft_distance,stft_distance,log_mel_spectrogram_distance_raw,log_mel_spectrogram_distance_normalized,frames
bass_electronic_018-022-100.wav,22,29.13523509488062,6701.19970703125,1662.7884521484375,541.8991088867188,0.12194563004746588,126
bass_electronic_018-023-025.wav,23,30.86770632850775,4782.75146484375,896.5869140625,888.1654052734375,0.23878278801614042,126
bass_electronic_018-023-075.wav,23,30.86770632850775,11986.7724609375,2402.634765625,520.5013427734375,0.12247022879469414,126
bass_electronic_018-023-127.wav,23,30.86770632850775,11371.9482421875,2067.609375,544.0432739257812,0.12779316569598434,126
bass_electronic_018-024-025.wav,24,32.70319566257483,10998.853515625,2140.638427734375,527.3753662109375,0.1292387081905685,126
bass_electronic_018-024-100.wav,24,32.70319566257483,9421.88671875,1891.9227294921875,546.5794067382812,0.1277995385996647,126
bass_electronic_018-026-025.wav,26,36.70809598967594,13231.0693359375,2630.8662109375,528.0697631835938,0.1291072172347513,126
bass_electronic_018-026-075.wav,26,36.70809598967594,12048.7236328125,2460.950439453125,508.8499450683594,0.1195843972623269,126
bass_electronic_018-026-127.wav,26,36.70809598967594,12126.796875,2497.4130859375,501.219482421875,0.11775411779065435,126
bass_electronic_018-027-075.wav,27,38.890872965260115,12980.25,2814.12255859375,547.587646484375,0.12853863656786352,126
bass_electronic_018-029-025.wav,29,43.653528929125486,17889.8828125,3781.9453125,491.8274230957031,0.11977864237581735,126
bass_electronic_018-029-075.wav,29,43.653528929125486,11706.9013671875,2363.875732421875,529.3426513671875,0.12709195609141624,126
bass_electronic_018-030-050.wav,30,46.2493028389543,18153.28515625,3854.342529296875,504.5516662597656,0.12219850641407402,126
bass_electronic_018-031-025.wav,31,48.999429497718666,12053.578125,2471.452880859375,529.2882080078125,0.12729811204648572,126
bass_electronic_018-032-025.wav,32,51.91308719749314,12117.7724609375,2410.336669921875,570.5428466796875,0.1436233766002302,126
bass_electronic_018-032-127.wav,32,51.91308719749314,10234.71484375,1827.024169921875,552.1185913085938,0.13191061825887238,126
bass_electronic_018-033-075.wav,33,55.0,15822.201171875,3340.078125,558.1156616210938,0.13721628829636065,126
bass_electronic_018-035-075.wav,35,61.7354126570155,12262.65234375,1991.9837646484375,602.1868286132812,0.14932413403396097,126
bass_electronic_018-035-100.wav,35,61.7354126570155,10563.642578125,2228.4052734375,566.736328125,0.13696830605632632,126
bass_electronic_018-035-127.wav,35,61.7354126570155,11025.564453125,2241.352783203125,592.3933715820312,0.1446513085690542,126
bass_electronic_018-037-025.wav,37,69.29565774421802,12822.0009765625,2452.495361328125,624.69775390625,0.15898098065160057,126
bass_electronic_018-037-050.wav,37,69.29565774421802,10724.5048828125,1820.6536865234375,571.72607421875,0.14043820890323755,126
bass_electronic_018-037-100.wav,37,69.29565774421802,11753.9013671875,2132.443359375,548.5838012695312,0.13336571919402207,126
bass_electronic_018-040-050.wav,40,82.4068892282175,20345.994140625,4314.53564453125,666.2477416992188,0.17651095196163544,126
bass_electronic_018-040-100.wav,40,82.4068892282175,13053.650390625,2784.875,654.7196655273438,0.16797207238203402,126
bass_electronic_018-041-050.wav,41,87.30705785825097,16789.32421875,3545.3427734375,678.6703491210938,0.1754018488460518,126
bass_electronic_018-043-075.wav,43,97.99885899543733,12631.8330078125,2625.508056640625,767.1505126953125,0.1998782950673849,126
