epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
0,1.0158765316009521,0.5285588502883911,0.9656697511672974,0.5550000071525574,0.00019999999494757503
1,0.9451962113380432,0.5680882334709167,0.9034903049468994,0.5803333520889282,0.00019999999494757503
2,0.9000351428985596,0.593500018119812,0.8431529998779297,0.6106666922569275,0.00019999999494757503
3,0.873117983341217,0.6065000295639038,0.8185564875602722,0.6358333230018616,0.00019999999494757503
4,0.8471439480781555,0.6209117770195007,0.8297532796859741,0.6265000104904175,0.00019999999494757503
5,0.8287050127983093,0.6294999718666077,0.8752347230911255,0.6265000104904175,0.00019999999494757503
6,0.7701250910758972,0.6561470627784729,0.7774803042411804,0.6558333039283752,9.999999747378752e-05
7,0.7517368793487549,0.6666176319122314,0.821927011013031,0.6313333511352539,9.999999747378752e-05
8,0.7367175221443176,0.6751176714897156,0.8423664569854736,0.6361666917800903,9.999999747378752e-05
9,0.703935980796814,0.689235270023346,0.7585554718971252,0.6700000166893005,4.999999873689376e-05
10,0.6922837495803833,0.6929411888122559,0.7787663340568542,0.672166645526886,4.999999873689376e-05
11,0.6814573407173157,0.6999706029891968,0.7484785914421082,0.6768333315849304,4.999999873689376e-05
12,0.6745617389678955,0.7018529176712036,0.8092468976974487,0.6589999794960022,4.999999873689376e-05
13,0.6656895279884338,0.706529438495636,0.7718466520309448,0.6711666584014893,4.999999873689376e-05
14,0.6547906398773193,0.7128823399543762,0.7694572806358337,0.6693333387374878,2.499999936844688e-05
15,0.64800626039505,0.7132940888404846,0.777726948261261,0.671500027179718,2.499999936844688e-05
16,0.6385506391525269,0.7211764454841614,0.7649961709976196,0.6779999732971191,1.249999968422344e-05
